zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,fval
0.01,1,1,0,0,0,0,0,0
0.02,1,1,0,0,0,0,0,0
0.03,1,1,0,0,0,0,0,0
0.04,1,1,0,0,0,0,0,0
0.05,1,1,0,0,0,0,0,0
0.06,1,1,0,0,0,0,0,0
0.06,1.01,1.002380033,-0.002193041,-1.00E-04,-0.000217302,0.000131354,1.34E-06,1.27E-09
0.07,1,1,0,0,0,0,0,0
0.07,1.01,1.001906796,-0.001230044,-0.000842023,0.000163399,-4.97E-05,5.40E-05,3.76E-21
0.1,1,1.000000919,8.31E-07,6.57E-07,3.97E-07,5.03E-08,-3.82E-07,0
0.11,1,1.000000919,8.32E-07,6.57E-07,3.96E-07,5.00E-08,-3.81E-07,0
0.11,1.01,1.000566139,0.00021154,-0.000132834,-0.00124392,0.000767019,-0.00016552,0
0.11,1.04,1.012834415,-0.014952266,0.002431289,-0.000400952,0.000142712,-5.29E-05,0
0.12,1,1.000000919,8.32E-07,6.57E-07,3.96E-07,4.97E-08,-3.81E-07,0
0.12,1.02,1.00914644,-0.011913665,0.003479254,-0.001033467,0.000406827,-8.30E-05,1.56E-21
0.12,1.03,1.009068494,-0.011036313,0.003061512,-0.001399844,0.000310463,-1.98E-06,0
0.13,1,1.000000919,8.32E-07,6.57E-07,3.96E-07,4.95E-08,-3.81E-07,0
0.13,1.05,1.014703023,-0.01669686,0.0024056,-0.000516992,0.000130364,-2.29E-05,0
0.14,1,1.000000919,8.32E-07,6.57E-07,3.96E-07,4.98E-08,-3.81E-07,0
0.14,1.02,1.005742539,-0.006226372,0.001121462,-0.001513831,0.00121751,-0.000338932,2.58E-22
0.15,1,1.000000919,8.32E-07,6.57E-07,3.96E-07,4.97E-08,-3.81E-07,0
0.15,1.01,1.00031548,0.000283239,0.000436388,-0.001667649,0.000714858,-7.99E-05,0
0.15,1.03,1.009051124,-0.010694176,0.002937817,-0.002039982,0.000853634,-0.000106087,0
0.16,1,1.000000918,8.31E-07,6.57E-07,3.97E-07,5.08E-08,-3.81E-07,0
0.16,1.01,1.000347331,0.000157722,0.000619816,-0.001731213,0.000644925,-3.62E-05,0
0.16,1.04,1.012481995,-0.014624932,0.003020349,-0.001409648,0.000685367,-0.000150844,0
0.17,1,1.000000918,8.31E-07,6.57E-07,3.97E-07,5.07E-08,-3.81E-07,0
0.18,1,1.000000918,8.31E-07,6.57E-07,3.97E-07,5.07E-08,-3.81E-07,0
0.18,1.01,1.003866537,-0.006403018,0.004028225,-0.001254571,-0.000580767,0.000346017,0
0.18,1.05,1.016437965,-0.019110828,0.00337057,-0.001374708,0.000912574,-0.000233329,0
0.19,1,1.000000918,8.31E-07,6.57E-07,3.97E-07,5.07E-08,-3.81E-07,0
0.19,1.06,1.01903193,-0.022111824,0.004021832,-0.001485306,0.000595138,-4.96E-05,1.51E-22
0.19,1.07,1.021168141,-0.024620052,0.004036591,-0.00070059,0.000175617,-5.75E-05,3.10E-22
0.2,1,1.000000918,8.31E-07,6.57E-07,3.97E-07,5.05E-08,-3.81E-07,0
0.2,1.02,1.011639345,-0.016143051,0.005916436,-0.002183754,0.000991619,-0.000218218,1.97E-21
0.2,1.03,1.008808746,-0.011416404,0.004325676,-0.001944463,0.000100272,0.000128503,0
0.2,1.04,1.011698374,-0.013655054,0.003626652,-0.002782284,0.001336046,-0.000221449,6.98E-22
0.2,1.05,1.016403472,-0.019824909,0.004863417,-0.002182696,0.000886945,-0.000143986,2.70E-22
0.2,1.06,1.017668762,-0.021191993,0.005149536,-0.002130216,0.000563617,-5.75E-05,0
0.21,1,1.000000918,8.31E-07,6.57E-07,3.97E-07,5.07E-08,-3.81E-07,0
0.21,1.01,1.000396255,-0.001462796,0.003816991,-0.003980658,0.001411504,-0.000178873,0
0.21,1.03,1.009072378,-0.01019961,0.00222242,-0.002469353,0.001894898,-0.000518404,0
0.21,1.06,1.01879738,-0.021460344,0.002835732,7.88E-06,-0.000366522,0.000188076,1.24E-21
0.21,1.07,1.019905276,-0.022616432,0.003087382,-0.00017688,-0.000310637,0.000113451,0
0.22,1,1.000000918,8.31E-07,6.57E-07,3.97E-07,5.07E-08,-3.81E-07,0
0.22,1.02,1.014505933,-0.021051535,0.008009101,-0.001936498,0.000668219,-0.000192844,7.37E-22
0.22,1.03,1.012646295,-0.015410994,0.003678557,-0.002261032,0.001895303,-0.000545798,8.43E-23
0.22,1.06,1.018219516,-0.02128029,0.004583482,-0.00253339,0.001242718,-0.000229835,0
0.23,1,1.000000918,8.31E-07,6.57E-07,3.97E-07,5.07E-08,-3.81E-07,0
0.23,1.01,1.004914567,-0.008692505,0.005018484,-0.000233587,-0.001528747,0.000524212,4.41E-22
0.23,1.03,1.013334481,-0.016778078,0.004571963,-0.002397804,0.001760547,-0.000488779,2.96E-22
0.23,1.05,1.013843011,-0.016507206,0.004418416,-0.002288308,0.000536861,-5.32E-07,2.87E-22
0.23,1.07,1.020331233,-0.023411194,0.003896089,-0.001171995,0.000487277,-0.000129251,1.57E-22
