zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,fval
0.01,1,1,0,0,0,0,0,0
0.02,1,1,0,0,0,0,0,0
0.03,1,1,0,0,0,0,0,0
0.04,1,1,0,0,0,0,0,0
0.05,1,1,0,0,0,0,0,0
0.06,1,1,0,0,0,0,0,0
0.06,1.01,1.00238003319926,-0.00219304088710686,-9.99642773053075e-05,-0.000217302300420041,0.000131354277609222,1.34361891324267e-06,1.27148790085656e-09
0.07,1,1,0,0,0,0,0,0
0.07,1.01,1.00190679582156,-0.00123004418325592,-0.000842023035466833,0.000163398667847177,-4.97214195402903e-05,5.40177871975807e-05,3.758357950991e-21
0.1,1,1.00000091860961,8.31302596760876e-07,6.56907953151583e-07,3.96803193135127e-07,5.02817444262247e-08,-3.81558442784519e-07,0
0.11,1,1.00000091888849,8.3158743581753e-07,6.56936825119846e-07,3.96029273776346e-07,4.99595503452022e-08,-3.81054919803213e-07,0
0.11,1.01,1.00056613939793,0.00021153967847803,-0.000132834135458816,-0.00124392007834685,0.000767018590880255,-0.000165519822240944,0
0.11,1.04,1.01283441545219,-0.0149522662075072,0.00243128871565787,-0.000400951837269687,0.000142711993109974,-5.29122952126706e-05,0
0.12,1,1.00000091896614,8.31527767704869e-07,6.57022212943303e-07,3.96036360200341e-07,4.96739451537129e-08,-3.80879777050262e-07,0
0.12,1.02,1.00914643952179,-0.0119136653018949,0.00347925375876557,-0.00103346680447625,0.000406827255407103,-8.30120812198026e-05,1.56073388868062e-21
0.12,1.03,1.00906849357131,-0.0110363134201572,0.00306151234063464,-0.00139984425640439,0.000310462770250647,-1.9805887084823e-06,0
0.13,1,1.00000091901467,8.31519651971999e-07,6.5699311158662e-07,3.9607544890244e-07,4.95494825375475e-08,-3.80805713858961e-07,0
0.13,1.05,1.01470302263885,-0.0166968602369909,0.00240560033329935,-0.000516991969328565,0.000130363735661512,-2.28920172715397e-05,0
0.14,1,1.00000091893344,8.31524519012229e-07,6.57031986408252e-07,3.96013430999822e-07,4.97988908289431e-08,-3.80955612116432e-07,0
0.14,1.02,1.00574253946644,-0.00622637171150485,0.00112146201111025,-0.00151383124214161,0.0012175100172317,-0.00033893219634526,2.57933932002493e-22
0.15,1,1.00000091896582,8.31528627349644e-07,6.57020782752345e-07,3.96037876621649e-07,4.96722078166313e-08,-3.80878660364844e-07,0
0.15,1.01,1.00031547975128,0.000283238529575137,0.000436387585443938,-0.00166764922008128,0.000714857885357864,-7.9890904508196e-05,0
0.15,1.03,1.00905112431728,-0.0106941764071481,0.00293781734789494,-0.00203998170990618,0.000853634102651702,-0.000106087228031335,0
0.16,1,1.00000091774846,8.30871298061482e-07,6.56972807324043e-07,3.96696963804316e-07,5.07835212569312e-08,-3.80726065778558e-07,0
0.16,1.01,1.0003473310842,0.000157722477909617,0.000619815684713169,-0.00173121284910654,0.000644925050051466,-3.61578199086485e-05,0
0.16,1.04,1.0124819946993,-0.0146249324962863,0.00302034896247676,-0.00140964808839379,0.000685366540341645,-0.000150843798344761,0
0.17,1,1.00000091780337,8.30796995631463e-07,6.57013458041204e-07,3.96738638165271e-07,5.06536816788568e-08,-3.80659165153451e-07,0
0.18,1,1.00000091780329,8.30797143039715e-07,6.5701318834634e-07,3.96738920839399e-07,5.06533842845963e-08,-3.80658950939758e-07,0
0.18,1.01,1.00386653715678,-0.00640301816681798,0.00402822509747308,-0.00125457130262543,-0.00058076657883531,0.000346017422301926,0
0.18,1.05,1.01643796486355,-0.0191108284699192,0.00337056955213825,-0.0013747083099287,0.000912573753988838,-0.000233328902646584,0
0.19,1,1.00000091780323,8.30797301381648e-07,6.57012917977966e-07,3.96739209765473e-07,5.06530450523146e-08,-3.80658724510349e-07,0
0.19,1.06,1.01903192987349,-0.0221118239581793,0.00402183230801282,-0.00148530588384572,0.000595137581093595,-4.95695388649882e-05,1.51160805058563e-22
0.19,1.07,1.02116814090333,-0.02462005157348,0.00403659098699613,-0.000700590150260087,0.00017561705641819,-5.75477917402296e-05,3.09898426878915e-22
0.2,1,1.00000091779953,8.30817989649537e-07,6.57046216763564e-07,3.96726124474344e-07,5.05493764619312e-08,-3.80592253078527e-07,0
0.2,1.02,1.01163934501639,-0.0161430513261488,0.00591643562945191,-0.00218375398347232,0.000991619428059538,-0.000218218411270736,1.97000145112147e-21
0.2,1.03,1.00880874598644,-0.0114164040393694,0.00432567601924191,-0.00194446254574325,0.000100271992921948,0.000128503004209559,0
0.2,1.04,1.01169837385028,-0.0136550538870513,0.0036266524252965,-0.00278228421137585,0.00133604647381278,-0.000221448819025618,6.98070335219764e-22
0.2,1.05,1.01640347182491,-0.0198249094165874,0.00486341673487681,-0.0021826959575219,0.00088694503106074,-0.000143985721944396,2.69978892451142e-22
0.2,1.06,1.01766876239454,-0.0211919927064203,0.00514953552316486,-0.00213021633155148,0.000563617400879665,-5.7505911889159e-05,0
0.21,1,1.00000091785164,8.30776985246725e-07,6.57005279379908e-07,3.96688198732873e-07,5.06743497561267e-08,-3.80649472270483e-07,0
