zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,fval
0.01,1,1.000000917,8.30E-07,6.57E-07,3.97E-07,5.21E-08,-3.81E-07,0
0.02,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,7.07E-19
0.02,0.99,0.997714817,0.002334583,-0.000181319,0.000191158,-9.19E-05,3.52E-05,2.45E-19
0.03,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.71E-19
0.04,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,3.53E-19
0.04,0.99,0.999068332,0.000580026,9.21E-05,0.000320685,-0.000130085,7.14E-05,2.27E-19
0.04,0.98,0.994516012,0.005654409,-0.000190371,2.29E-05,1.04E-05,-1.08E-05,1.46E-19
0.05,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,2.83E-19
0.05,0.98,0.994496618,0.005806726,-0.000654055,0.000429313,2.05E-05,-9.65E-05,2.98E-19
0.06,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,2.36E-19
0.06,0.99,0.999052446,0.001403783,-0.001235866,0.000784229,-2.96E-05,2.76E-05,0
0.07,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,2.02E-19
0.07,0.99,0.999237913,0.001460557,-0.001791114,0.00115751,-8.15E-05,1.92E-05,0
0.07,0.96,0.989982837,0.0105274,-0.000904368,0.000347672,-5.66E-06,5.48E-05,2.87E-19
0.08,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,1.77E-19
0.08,0.99,1.003123406,-0.005420784,0.00171934,0.00098824,-0.000606359,0.000198681,2.55E-19
0.08,0.98,0.997307398,0.00193829,9.61E-05,0.001215624,-0.000790788,0.000235909,0
0.08,0.97,0.99333511,0.006625,-0.000287229,0.000646656,-0.00060374,0.000286832,3.54E-19
0.08,0.96,0.990322785,0.010162969,-0.001118841,0.000642071,-1.43E-05,8.04E-06,1.81E-20
0.09,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,1.57E-19
0.09,0.97,0.989323228,0.01274318,-0.002068952,6.17E-05,-0.000354717,0.000298176,0
0.09,0.96,0.988714209,0.012604925,-0.001830662,0.000459926,1.59E-05,3.84E-05,0
0.09,0.95,0.98718949,0.013306613,-0.001023669,0.000666276,-0.000263234,0.000127262,5.65E-20
0.1,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,1.41E-19
0.1,0.99,0.997792586,0.000147566,0.003028436,-0.000856318,-2.67E-06,-0.000107076,0
0.1,0.97,0.993268082,0.004610115,0.003351175,-0.001662519,0.000661871,-0.000226096,4.57E-19
0.1,0.96,0.991187954,0.008597358,7.08E-06,5.42E-05,0.000134844,2.12E-05,0
0.1,0.94,0.984811423,0.015759191,-0.001195998,0.00062614,-8.78E-05,8.99E-05,0
0.11,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,1.28E-19
0.11,0.99,-1.002240307,0.003058862,0.000781383,-0.002207863,0.000760068,-0.000154665,1.05E-19
0.11,0.97,0.993869756,0.00534603,0.000128171,0.001427391,-0.001021945,0.000253225,1.06E-19
0.11,0.96,0.989527134,0.010104432,0.000257651,-0.000123244,0.000598603,-0.000361891,2.85E-19
0.12,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,1.18E-19
0.12,0.98,0.993924159,0.007461302,-0.001641196,-0.000231432,0.000660091,-0.000170348,2.42E-19
0.12,0.94,0.983947663,0.015555035,0.000632873,-0.000175251,0.000108263,-6.58E-05,2.13E-19
0.12,0.93,0.981810246,0.01879542,-0.00131086,0.000697086,-6.46E-05,7.56E-05,4.27E-20
0.13,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,1.09E-19
0.13,0.99,1.00068945,-0.00226584,0.000343387,0.002047565,-0.000723122,-8.89E-05,0
0.13,0.98,0.996871071,0.001007362,0.003407399,-0.001369112,-0.000187387,0.000273243,3.59E-19
0.13,0.97,0.991719926,0.00564127,0.004551856,-0.002127705,0.000388851,-0.000171572,0
0.13,0.96,0.990641226,0.006472104,0.004306025,-0.001944083,0.00099893,-0.000471519,2.19E-20
0.13,0.94,0.983764383,0.015295898,0.001390388,-0.000524245,0.000191021,-0.000114646,3.18E-19
0.13,0.93,0.982126353,0.018059197,-0.000677386,0.000397527,6.58E-05,3.14E-05,8.52E-20
0.14,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,1.01E-19
0.14,0.99,1.002855271,-0.004872564,0.002470413,-0.000315816,-0.000783944,0.000649163,1.05E-20
0.14,0.97,0.993985658,0.007288789,-0.003610143,0.00267426,-9.18E-05,-0.000244123,2.45E-19
0.14,0.96,0.991784592,0.009234303,-0.002259913,0.00157864,-0.000744162,0.000409223,0
0.14,0.94,0.98642579,0.013830216,-0.00069959,-0.000175109,0.00068056,-5.91E-05,7.76E-19
0.14,0.92,0.97875805,0.02204082,-0.001525288,0.000738881,-0.000162143,0.000152598,0
0.15,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,9.42E-20
0.15,0.98,0.998237027,-0.000161342,0.002704307,-0.001135957,0.000252334,0.000106207,3.52E-19
0.15,0.96,0.991216852,0.004923757,0.005531389,-0.002100594,0.000953353,-0.000522075,0
0.15,0.95,0.991302621,0.004932079,0.005394631,-0.00236809,0.000922767,-0.00018127,0
0.15,0.94,0.989768695,0.00788533,0.00235823,-0.00017658,-4.03E-05,0.000207446,1.04E-18
0.15,0.93,0.982800885,0.016558625,0.000365252,0.000459425,-0.000366751,0.000185423,0
0.16,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,8.83E-20
0.16,0.98,0.99453999,0.004293679,0.002479307,-0.002266393,0.001466206,-0.000510215,0
0.16,0.96,0.99677185,-0.000430602,0.004069457,-0.001117881,0.00100615,-0.00029629,1.38E-19
0.16,0.95,0.989508043,0.007642159,0.00406918,-0.001435724,0.000192485,2.66E-05,3.87E-19
0.16,0.94,0.988895607,0.007299851,0.005150132,-0.002216341,0.001217518,-0.000343969,6.77E-21
0.16,0.91,0.974731464,0.026339522,-0.001887374,0.000832195,-0.000113489,0.000100669,4.11E-19
0.17,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,8.31E-20
0.17,0.99,0.995171306,0.003920891,0.000106138,0.001555818,-6.93E-05,-0.000682355,7.07E-19
0.17,0.94,0.984299749,0.015957766,0.00042643,-0.001341508,0.000529492,0.000130869,0
0.17,0.93,0.983817357,0.015599953,0.000106676,0.000198674,0.000331196,-5.10E-05,6.43E-19
0.17,0.9,0.974110085,0.026224754,-0.001610794,0.001464571,-0.000381956,0.000196391,0
0.18,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,7.85E-20
0.18,0.99,0.996603624,0.001095729,0.001638579,0.002252461,-0.001393467,-0.000194401,5.91E-19
0.18,0.98,0.998836188,-8.38E-06,0.001375223,0.000736195,-0.00211767,0.001181015,0
0.18,0.97,0.99945947,-0.000485304,-0.000603669,0.002115035,-0.000931149,0.000448243,0
0.18,0.96,0.993510203,0.003833944,0.003441016,-0.000548993,-0.00066452,0.000431034,3.25E-19
0.18,0.94,0.986599729,0.010757015,0.00288307,5.19E-05,-0.000239514,-4.94E-05,7.79E-19
0.18,0.92,0.982058788,0.017177063,-0.000793552,0.002247259,-0.000972391,0.000285758,5.24E-19
0.18,0.9,0.973072041,0.027752599,-0.002101458,0.001302158,-5.80E-05,3.57E-05,0
0.18,0.89,0.970532903,0.029717419,-0.001349721,0.001088638,-0.000114575,0.00012846,0
0.19,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,7.44E-20
0.19,0.98,0.996679728,0.00082935,0.005296433,-0.003944401,0.000975884,0.000165584,1.34E-19
0.19,0.96,0.993714452,0.002151348,0.005895523,-0.002562303,0.001201833,-0.000398173,0
0.19,0.94,0.988990222,0.007994334,0.004254673,-0.001691138,0.000170752,0.000283958,6.60E-19
0.19,0.93,0.983651336,0.015002515,0.001458271,-0.000960035,0.001343266,-0.000492491,4.65E-19
0.19,0.92,0.983649168,0.014825827,0.001568281,-0.000504491,0.000152121,0.000312017,9.24E-20
0.19,0.9,0.972948432,0.027994418,-0.001832934,0.000598904,0.000227534,6.67E-05,1.84E-19
0.2,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,7.07E-20
0.2,0.98,1.005342687,-0.009822809,0.004699603,-0.000369243,-0.000134543,0.000286876,0
0.2,0.97,1.004388972,-0.007760829,0.000413414,0.00452614,-0.002105367,0.000540293,0
0.2,0.95,-0.989130744,-0.005202172,-0.008157589,0.002805187,-0.000816872,0.00049945,5.87E-20
0.2,0.94,0.987848952,0.009077124,0.004707551,-0.002793079,0.001448129,-0.000285877,9.19E-19
0.2,0.92,0.98653155,0.009223744,0.00474846,-0.001069098,0.000613517,-4.53E-05,0
0.2,0.9,0.973269314,0.026032426,0.000486168,-0.000133346,0.000518947,-0.000170456,7.63E-21
0.21,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,6.73E-20
0.21,0.98,-1.003754226,0.007161885,-0.002634118,-0.00187535,0.001959572,-0.000860341,4.40E-19
0.21,0.96,0.99806453,0.001272467,-0.002733176,0.004431196,-0.001268406,0.000236069,0
0.21,0.95,0.991004868,0.007089748,-4.47E-05,0.003354903,-0.001508062,0.000105998,2.57E-19
0.21,0.93,0.989417582,0.008210454,0.000786011,0.002780513,-0.001996664,0.000804959,0
0.21,0.92,0.985191599,0.013034451,-0.000368101,0.003193769,-0.001486827,0.000438032,2.89E-19
0.21,0.91,0.97768919,0.02194214,-0.00081984,0.001991075,-0.001343073,0.000543497,5.50E-19
0.21,0.88,0.968256092,0.031008013,-5.00E-05,0.00068469,3.81E-05,6.63E-05,0
0.21,0.87,0.96416853,0.036112724,-0.001591396,0.001278929,-0.000106169,0.000140646,0
0.22,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,6.42E-20
0.22,0.99,1.004187033,-0.003653554,-0.002757807,0.003118049,-0.001793887,0.000902685,0
0.22,0.98,1.001108339,-0.003025851,0.000451835,0.002236651,-0.000995671,0.000227273,1.77E-19
0.22,0.96,0.987740142,0.013526948,-0.004075015,0.003517324,0.000217848,-0.000924562,1.56E-19
0.22,0.95,0.992575815,0.004457734,0.001723765,0.001847595,-0.000360921,-0.000241249,0
0.22,0.94,0.992026608,0.005831464,0.000498867,0.002858285,-0.002019409,0.000806982,0
0.22,0.93,0.990924303,0.006005264,0.001813353,0.002258668,-0.001929173,0.000930446,4.85E-19
0.22,0.92,0.983463051,0.014252335,0.00115034,0.001998668,-0.00120219,0.000340719,3.03E-19
0.22,0.91,0.983126566,0.014454329,0.001023402,0.00164121,-0.000466457,0.000223938,4.21E-19
0.22,0.9,0.975620664,0.022640252,0.001023281,0.001140656,-0.000660632,0.000238835,9.10E-19
0.22,0.89,0.973289825,0.024587537,0.001908018,-0.000353643,0.000757724,-0.000186338,2.70E-20
0.22,0.88,0.970406281,0.028267748,0.000734116,0.000215395,0.000206618,0.000173033,3.14E-20
0.23,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,6.14E-20
0.23,0.98,1.000044059,-0.001651567,0.001633416,0.001401824,-0.002974394,0.001549236,2.81E-22
0.23,0.96,0.999658931,-0.003678166,0.002525875,0.003371507,-0.00295038,0.001074918,5.27E-19
0.23,0.95,0.993204023,0.004773001,-0.000673503,0.004441958,-0.002025372,0.000282631,0
0.23,0.94,0.993102653,0.004684927,-0.000665892,0.004366295,-0.001933658,0.000448469,0
0.23,0.93,0.987023258,0.010182755,0.001772311,0.002161158,-0.001613001,0.000476377,0
0.23,0.92,0.983375768,0.014863821,4.39E-05,0.003041875,-0.001882697,0.000560211,3.22E-19
0.23,0.91,0.983508168,0.014843874,-0.000227974,0.002832312,-0.00180721,0.000853814,0
0.23,0.9,0.977166918,0.021450494,-0.000464194,0.002760823,-0.001317357,0.000406372,9.47E-19
0.23,0.88,0.97066346,0.02872577,-0.000900018,0.001618337,-0.00042079,0.000316431,0
0.23,0.87,0.96239604,0.037612258,-0.000856204,0.000938429,-0.000134389,4.71E-05,0
0.24,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,5.89E-20
0.24,0.98,1.001853421,-0.005369489,0.004447682,-0.000560804,-0.001233729,0.000865495,2.22E-19
0.24,0.97,1.001828703,-0.005484971,0.004373881,-0.000575284,-0.001170359,0.00103066,2.69E-19
0.24,0.96,0.998987235,-0.002829368,0.003901719,-0.00140475,0.00197048,-0.000622629,1.50E-19
