zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,fval
0.01,1,1.00000091678979,8.29531067624536e-07,6.57361977867561e-07,3.97065843046211e-07,5.21333149990159e-08,-3.80534647365709e-07,0
0.02,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,7.06656970881032e-19
0.02,1.01,1.00235379340696,-0.00245483834098965,0.00024567213016981,-0.000178418918628979,4.35891397590805e-05,-7.3737854637551e-06,0
0.03,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,4.71110277748638e-19
0.03,1.01,1.00254303677912,-0.0023087407702067,-0.0003293277549437,0.000149209717287247,-0.000147368846626001,9.56149432905836e-05,4.72548263838262e-19
0.04,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,3.53333509422723e-19
0.04,1.01,1.00084250649956,-0.000445941212268724,-6.63023661254126e-05,-0.000484858332717715,0.000252829046581571,-9.58099979909004e-05,2.10777746727101e-21
0.05,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,2.82667192072971e-19
0.05,1.02,1.00502596800678,-0.00548675769212538,0.00078062145296202,-0.000456277922053714,0.000217696963918508,-7.88751534747797e-05,0
0.06,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,2.35556207025067e-19
0.06,1.01,1.00069806129931,-0.000961500851263357,0.00120774467789987,-0.00115165701881199,0.00027227439284272,-6.24988642537536e-05,4.9693907808058e-22
0.06,1.02,1.00705654079059,-0.00760730897024737,0.000590572036941891,-0.000368733360083222,0.000350441668481155,-1.91353636961447e-05,2.24578496145605e-19
0.07,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,2.01905451101847e-19
0.07,1.02,1.00406929677991,-0.00386465643466824,0.000406452920728137,-0.00106455713409018,0.000539343362684309,-8.35038998034388e-05,0
