new_z,new_omega
0.01,0.96
0.01,0.985
0.035,0.96
0.035,0.985
0.06,0.935
0.06,0.96
0.06,0.985
0.085,0.935
0.085,0.96
0.085,0.985
0.11,0.91
0.11,0.935
0.11,0.96
0.11,0.985
0.135,0.91
0.135,0.935
0.135,0.96
0.135,0.985
0.16,0.86
0.16,0.885
0.16,0.935
0.16,0.96
0.16,0.985
0.185,0.885
0.185,0.91
0.185,0.935
0.185,0.96
0.185,0.985
0.21,0.86
0.21,0.885
0.21,0.96
0.21,0.985
0.235,0.81
0.235,0.885
0.235,0.96
0.235,0.985
0.26,0.81
0.26,0.96
0.26,0.985
0.285,0.835
0.285,0.885
0.285,0.935
0.285,0.96
0.285,0.985
0.31,0.835
0.31,0.86
0.31,0.885
0.31,0.91
0.31,0.935
0.31,0.96
0.31,0.985
0.335,0.835
0.335,0.86
0.335,0.91
0.335,0.935
0.335,0.96
0.36,0.835
0.36,0.86
0.36,0.885
0.36,0.91
0.36,0.935
0.36,0.96
0.385,0.81
0.385,0.835
0.385,0.86
0.385,0.885
0.385,0.96
0.385,0.985
0.41,0.835
0.41,0.86
0.41,0.885
0.41,0.91
0.41,0.96
0.435,0.61
0.435,0.835
0.435,0.86
0.435,0.885
0.435,0.91
0.435,0.935
0.435,0.96
0.46,0.61
0.46,0.635
0.46,0.835
0.46,0.86
0.46,0.885
0.46,0.91
0.46,0.935
0.46,0.96
0.46,0.985
0.485,0.585
0.485,0.61
0.485,0.635
0.485,0.66
0.485,0.835
0.485,0.86
0.485,0.885
0.485,0.91
0.485,0.935
0.485,0.96
0.485,0.985
0.51,0.585
0.51,0.61
0.51,0.635
0.51,0.66
0.51,0.685
0.51,0.81
0.51,0.835
0.51,0.86
0.51,0.885
0.51,0.91
0.51,0.935
0.51,0.96
0.51,0.985
0.535,0.585
0.535,0.61
0.535,0.635
0.535,0.66
0.535,0.685
0.535,0.71
0.535,0.735
0.535,0.785
0.535,0.81
0.535,0.835
0.535,0.86
0.535,0.885
0.535,0.91
0.535,0.935
0.535,0.96
0.535,0.985
0.56,0.585
0.56,0.61
0.56,0.635
0.56,0.66
0.56,0.685
0.56,0.71
0.56,0.735
0.56,0.76
0.56,0.81
0.56,0.835
0.56,0.86
0.56,0.885
0.56,0.91
0.56,0.935
0.56,0.96
0.56,0.985
0.585,0.585
0.585,0.61
0.585,0.635
0.585,0.66
0.585,0.685
0.585,0.71
0.585,0.735
0.585,0.76
0.585,0.785
0.585,0.81
0.585,0.835
0.585,0.86
0.585,0.885
0.585,0.91
0.585,0.935
0.585,0.96
0.585,0.985
0.61,0.585
0.61,0.61
0.61,0.635
0.61,0.66
0.61,0.685
0.61,0.71
0.61,0.735
0.61,0.76
0.61,0.785
0.61,0.81
0.61,0.835
0.61,0.86
0.61,0.885
0.61,0.91
0.61,0.935
0.61,0.96
0.61,0.985
0.635,0.585
0.635,0.61
0.635,0.635
0.635,0.66
0.635,0.685
0.635,0.71
0.635,0.735
0.635,0.76
0.635,0.785
0.635,0.81
0.635,0.835
0.635,0.86
0.635,0.885
0.635,0.91
0.635,0.935
0.635,0.96
0.635,0.985
0.66,0.585
0.66,0.61
0.66,0.635
0.66,0.66
0.66,0.685
0.66,0.71
0.66,0.735
0.66,0.76
0.66,0.785
0.66,0.81
0.66,0.835
0.66,0.86
0.66,0.885
0.66,0.91
0.66,0.935
0.66,0.96
0.66,0.985
0.685,0.56
0.685,0.585
0.685,0.61
0.685,0.635
0.685,0.66
0.685,0.685
0.685,0.71
0.685,0.735
0.685,0.76
0.685,0.785
0.685,0.81
0.685,0.835
0.685,0.86
0.685,0.885
0.685,0.91
0.685,0.935
0.685,0.96
0.685,0.985
0.71,0.56
0.71,0.585
0.71,0.61
0.71,0.635
0.71,0.66
0.71,0.685
0.71,0.71
0.71,0.735
0.71,0.76
0.71,0.785
0.71,0.81
0.71,0.835
0.71,0.86
0.71,0.885
0.71,0.91
0.71,0.935
0.71,0.96
0.71,0.985
0.735,0.56
0.735,0.585
0.735,0.61
0.735,0.635
0.735,0.66
0.735,0.685
0.735,0.71
0.735,0.735
0.735,0.76
0.735,0.785
0.735,0.81
0.735,0.835
0.735,0.86
0.735,0.885
0.735,0.91
0.735,0.935
0.735,0.96
0.735,0.985
0.76,0.56
0.76,0.585
0.76,0.61
0.76,0.635
0.76,0.66
0.76,0.685
0.76,0.71
0.76,0.735
0.76,0.76
0.76,0.785
0.76,0.81
0.76,0.835
0.76,0.86
0.76,0.885
0.76,0.91
0.76,0.935
0.76,0.96
0.76,0.985
0.785,0.56
0.785,0.585
0.785,0.61
0.785,0.635
0.785,0.66
0.785,0.685
0.785,0.71
0.785,0.735
0.785,0.76
0.785,0.785
0.785,0.81
0.785,0.835
0.785,0.86
0.785,0.885
0.785,0.91
0.785,0.935
0.785,0.96
0.785,0.985
0.81,0.56
0.81,0.585
0.81,0.61
0.81,0.635
0.81,0.66
0.81,0.685
0.81,0.71
0.81,0.735
0.81,0.76
0.81,0.785
0.81,0.81
0.81,0.835
0.81,0.86
0.81,0.885
0.81,0.91
0.81,0.935
0.81,0.96
0.81,0.985
0.835,0.56
0.835,0.585
0.835,0.61
0.835,0.635
0.835,0.66
0.835,0.685
0.835,0.71
0.835,0.735
0.835,0.76
0.835,0.785
0.835,0.81
0.835,0.835
0.835,0.86
0.835,0.885
0.835,0.91
0.835,0.935
0.835,0.96
0.835,0.985
0.86,0.56
0.86,0.585
0.86,0.61
0.86,0.635
0.86,0.66
0.86,0.685
0.86,0.71
0.86,0.735
0.86,0.76
0.86,0.785
0.86,0.81
0.86,0.835
0.86,0.86
0.86,0.885
0.86,0.91
0.86,0.935
0.86,0.96
0.86,0.985
0.885,0.535
0.885,0.56
0.885,0.585
0.885,0.61
0.885,0.635
0.885,0.66
0.885,0.685
0.885,0.71
0.885,0.735
0.885,0.76
0.885,0.785
0.885,0.81
0.885,0.835
0.885,0.86
0.885,0.885
0.885,0.91
0.885,0.935
0.885,0.96
0.885,0.985
0.91,0.535
0.91,0.56
0.91,0.585
0.91,0.61
0.91,0.635
0.91,0.66
0.91,0.685
0.91,0.71
0.91,0.735
0.91,0.76
0.91,0.785
0.91,0.81
0.91,0.835
0.91,0.86
0.91,0.885
0.91,0.91
0.91,0.935
0.91,0.96
0.91,0.985
0.935,0.535
0.935,0.56
0.935,0.585
0.935,0.61
0.935,0.635
0.935,0.66
0.935,0.685
0.935,0.71
0.935,0.735
0.935,0.76
0.935,0.785
0.935,0.81
0.935,0.835
0.935,0.86
0.935,0.885
0.935,0.91
0.935,0.935
0.935,0.96
0.935,0.985
0.96,0.535
0.96,0.56
0.96,0.585
0.96,0.61
0.96,0.635
0.96,0.66
0.96,0.685
0.96,0.71
0.96,0.735
0.96,0.76
0.96,0.785
0.96,0.81
0.96,0.835
0.96,0.86
0.96,0.885
0.96,0.91
0.96,0.935
0.96,0.96
0.96,0.985
0.985,0.46
0.985,0.535
0.985,0.56
0.985,0.585
0.985,0.61
0.985,0.635
0.985,0.66
0.985,0.685
0.985,0.71
0.985,0.735
0.985,0.76
0.985,0.785
0.985,0.81
0.985,0.835
0.985,0.86
0.985,0.885
0.985,0.91
0.985,0.935
0.985,0.96
0.985,0.985
