zeta,omega_ratio,solution_1,solution_2,solution_3,power,test_FLAG
0.01,0.46,1.171028676,-0.276550063,0.037985345,-0.069191944,FALSE
0.01,0.535,1.162880276,-0.222588033,0.010525269,-0.068285375,FALSE
0.01,0.56,1.159201589,-0.206083522,0.004924899,-0.065365266,FALSE
0.01,0.585,1.155021023,-0.190578358,0.000344856,-0.061397806,FALSE
0.01,0.61,1.15045486,-0.176154486,-0.003415597,-0.056672898,FALSE
0.01,0.635,1.145561487,-0.162783388,-0.006567504,-0.051571115,FALSE
0.01,0.66,1.140218084,-0.150051133,-0.009421408,-0.046437694,FALSE
0.01,0.685,1.125952881,-0.12271761,-0.017364786,-0.039871598,FALSE
0.01,0.71,1.123515517,-0.117716006,-0.017556073,-0.036007365,FALSE
0.01,0.735,1.113638637,-0.100966846,-0.016931121,-0.040554406,FALSE
0.01,0.76,1.101895646,-0.086678297,-0.015703554,-0.045689882,FALSE
0.01,0.785,1.088279043,-0.073806857,-0.014472032,-0.050369293,FALSE
0.01,0.81,1.075512526,-0.062275787,-0.013236284,-0.054407116,FALSE
0.01,0.835,1.063800393,-0.05184207,-0.011957585,-0.057314844,FALSE
0.01,0.86,1.052881789,-0.042279901,-0.010600881,-0.058448908,FALSE
0.01,0.885,1.042605327,-0.033476354,-0.009127705,-0.057140481,FALSE
0.01,0.91,1.032788824,-0.025236225,-0.007551074,-0.052668609,FALSE
0.01,0.935,1.01319201,-0.009580968,-0.003608973,-0.039492357,FALSE
0.01,0.96,1.002207712,-0.001214913,-0.00099041,-0.021906366,FALSE
0.035,0.46,1.177908885,-0.280345582,0.046373825,-0.061583558,FALSE
0.035,0.535,1.167232701,-0.229346476,0.015621356,-0.063121064,FALSE
0.035,0.56,1.163278401,-0.212846285,0.009329542,-0.061300246,FALSE
0.035,0.585,1.158897626,-0.197304362,0.00419768,-0.058377246,FALSE
0.035,0.61,1.154161854,-0.182759465,-4.30E-05,-0.054600696,FALSE
0.035,0.635,1.149109933,-0.169152867,-0.003625398,-0.050287702,FALSE
0.035,0.66,1.124005811,-0.120235161,-0.01971867,-0.042497478,FALSE
0.035,0.685,1.137575097,-0.143276167,-0.009939537,-0.041198775,FALSE
0.035,0.71,1.12949205,-0.127938981,-0.013899523,-0.036546738,FALSE
0.035,0.735,1.113922941,-0.101070369,-0.020237285,-0.033468724,FALSE
0.035,0.76,1.103376877,-0.086450055,-0.01872257,-0.039000946,FALSE
0.035,0.785,1.091702928,-0.074922748,-0.016780606,-0.044351181,FALSE
0.035,0.81,1.077605128,-0.061775092,-0.015829724,-0.048524934,FALSE
0.035,0.835,1.065609255,-0.051239449,-0.014369199,-0.052017572,FALSE
0.035,0.86,1.055707547,-0.043299897,-0.012406771,-0.054226904,FALSE
0.035,0.885,1.043928595,-0.032631495,-0.011295944,-0.053277933,FALSE
0.035,0.91,1.005111746,-0.002152569,-0.002956923,-0.040884452,FALSE
0.035,0.935,1.02385822,-0.01619022,-0.007666302,-0.042030831,FALSE
0.035,0.96,0.997405869,0.003352705,-0.00075608,-0.01171232,FALSE
0.06,0.46,1.185430659,-0.282771972,0.054868888,-0.055196066,FALSE
0.06,0.535,1.171280782,-0.235806737,0.020567537,-0.058488109,FALSE
0.06,0.56,1.167138622,-0.219428866,0.013639032,-0.057565483,FALSE
0.06,0.585,1.162610338,-0.203875595,0.007981239,-0.055539513,FALSE
0.06,0.61,1.157745932,-0.189221406,0.0032862,-0.052592263,FALSE
0.06,0.635,1.122909563,-0.119512768,-0.021693227,-0.045659407,FALSE
0.06,0.66,1.147123776,-0.162403407,-0.004153137,-0.045021744,FALSE
0.06,0.685,1.141013072,-0.149335179,-0.007519849,-0.040890122,FALSE
0.06,0.71,1.132113563,-0.132408825,-0.012184477,-0.036409733,FALSE
0.06,0.735,1.121847654,-0.114344021,-0.017144823,-0.031910812,FALSE
0.06,0.76,1.106863021,-0.09056971,-0.019725757,-0.034537542,FALSE
0.06,0.785,1.085920142,-0.067023937,-0.01889618,-0.043082969,FALSE
0.06,0.81,1.08375844,-0.067672862,-0.016085398,-0.04482686,FALSE
0.06,0.835,1.071422444,-0.056657513,-0.014764455,-0.048644396,FALSE
0.06,0.86,1.060101524,-0.046741695,-0.013359074,-0.051079629,FALSE
0.06,0.885,1.047621702,-0.035191658,-0.012429006,-0.050915987,FALSE
0.06,0.91,1.006511349,-0.001605174,-0.004904025,-0.037013857,FALSE
