zeta,omega_ratio,solution_1,solution_2,solution_3,power,test_FLAG
0.01,0.46,1.171028676,-0.276550063,0.037985345,-0.069191943,FALSE
0.01,0.51,1.166079619,-0.240232106,0.017612053,-0.069846985,FALSE
0.01,0.535,1.162880276,-0.222588032,0.010525269,-0.068285376,FALSE
0.01,0.56,1.159201589,-0.206083522,0.004924899,-0.065365266,FALSE
0.01,0.585,1.155021023,-0.190578356,0.000344857,-0.061397807,FALSE
0.01,0.61,1.15045486,-0.176154486,-0.003415597,-0.056672899,FALSE
0.01,0.635,1.145561487,-0.162783388,-0.006567504,-0.051571115,FALSE
0.01,0.66,1.140218086,-0.150051135,-0.009421407,-0.046437695,FALSE
0.01,0.685,1.125952881,-0.12271761,-0.017364786,-0.039871598,FALSE
0.01,0.71,1.123515517,-0.117716005,-0.017556073,-0.036007365,FALSE
0.01,0.735,1.113638637,-0.100966847,-0.016931121,-0.040554407,FALSE
0.01,0.76,1.101895646,-0.086678297,-0.015703554,-0.045689882,FALSE
0.01,0.785,1.088279043,-0.073806857,-0.014472032,-0.050369292,FALSE
0.01,0.81,1.075512526,-0.062275787,-0.013236284,-0.054407116,FALSE
0.01,0.835,1.063800393,-0.051842071,-0.011957585,-0.057314845,FALSE
0.01,0.86,1.052881789,-0.042279901,-0.010600881,-0.058448908,FALSE
0.01,0.885,1.042605327,-0.033476354,-0.009127704,-0.057140482,FALSE
0.01,0.91,1.032788824,-0.025236225,-0.007551074,-0.052668609,FALSE
0.01,0.935,1.01319201,-0.009580968,-0.003608973,-0.039492357,FALSE
0.035,0.46,1.17789546,-0.280357144,0.046370294,-0.061579587,FALSE
0.035,0.51,1.17070811,-0.24663569,0.023448688,-0.063709338,FALSE
0.035,0.535,1.16723441,-0.229349788,0.015623535,-0.063119622,FALSE
0.035,0.56,1.163278309,-0.212846104,0.009329439,-0.061300302,FALSE
0.035,0.585,1.158897628,-0.197304367,0.004197682,-0.058377244,FALSE
0.035,0.61,1.154161863,-0.182759487,-4.30E-05,-0.054600691,FALSE
0.035,0.635,1.149098878,-0.169131549,-0.003634226,-0.050288123,FALSE
0.035,0.66,1.143691512,-0.156244493,-0.00679696,-0.045753882,FALSE
0.035,0.685,1.13759289,-0.143308379,-0.009927901,-0.041201421,FALSE
0.035,0.71,1.129487089,-0.127930373,-0.013902484,-0.036545825,FALSE
0.035,0.735,1.113934463,-0.10108905,-0.020229747,-0.033473487,FALSE
0.035,0.76,1.103482537,-0.086574525,-0.018737826,-0.038913361,FALSE
0.035,0.785,1.090810853,-0.073547173,-0.017264382,-0.044038752,FALSE
0.035,0.81,1.077843392,-0.062123908,-0.015719173,-0.048593308,FALSE
0.035,0.835,1.065587908,-0.051209407,-0.014377895,-0.052011633,FALSE
0.035,0.86,1.05526839,-0.042692528,-0.01257498,-0.054084939,FALSE
0.035,0.885,1.043921581,-0.032623027,-0.011297397,-0.053276291,FALSE
0.035,0.91,1.03397855,-0.024389287,-0.009587842,-0.0496597,FALSE
0.035,0.935,1.011078046,-0.00640212,-0.004673858,-0.034665217,FALSE
0.06,0.46,1.185792157,-0.282476264,0.054959735,-0.055293084,FALSE
