zeta,omega_ratio,solution_1,solution_2,solution_3,power,test_FLAG
0.01,0.01,1.00132995128436,-0.0328077170752807,0.031481457202412,-0.0040546023664231,false
0.01,0.035,1.00166337555828,-0.0335820361305912,0.0319223628301145,-0.0141597560840111,false
0.01,0.06,1.00234704407941,-0.0346257966843168,0.0322824555846091,-0.0241750768296736,false
0.01,0.085,1.00339967476529,-0.0361479149793851,0.0327519409452524,-0.0340410518569903,false
0.01,0.11,1.0048979223341,-0.0387358267928656,0.0338416186608079,-0.0436933519225333,false
0.01,0.135,1.0069189670285,-0.0418394309948018,0.0349241810172616,-0.0530567632520128,false
0.01,0.16,1.00961952538658,-0.0460514444001567,0.0364356424394012,-0.0620437254871054,false
0.01,0.185,1.013208087529,-0.0515664916114123,0.0383621327366724,-0.0705408514591212,false
0.01,0.21,1.01822052417943,-0.0595958336420655,0.0413790583171205,-0.0784023724386156,false
0.01,0.235,1.0252886182952,-0.0707480216641323,0.0454631739798528,-0.0853948960006314,false
0.01,0.26,1.03663259573468,-0.0891419784230089,0.0525132078065058,-0.091161942492368,false
0.01,0.285,1.15302730531099,-0.310952970730829,0.157931358418014,-0.107294549489311,false
0.01,0.31,1.16970502537004,-0.307499082542149,0.137798623905353,-0.0933655575200711,false
0.01,0.335,1.18121327034983,-0.303177597172363,0.121968039719314,-0.081360330212666,false
0.01,0.36,1.18905054235731,-0.298528985639782,0.109481507232591,-0.0713309975209209,false
0.01,0.385,1.19352250542747,-0.292682601195039,0.0991626630813796,-0.0632375858623263,false
0.01,0.41,1.20683978203948,-0.2858188626837,0.0789754009484397,-0.0681289660508357,false
0.01,0.435,1.17548421217854,-0.291946237244239,0.0534331181525359,-0.0674518600003323,false
0.01,0.46,1.17122998871559,-0.276368837363758,0.0380409381203618,-0.0692564251648555,false
0.01,0.485,1.16864634237228,-0.258485342332102,0.026498735886162,-0.0701175761335153,false
0.01,0.51,1.16607962791752,-0.240232120706796,0.0176120643068887,-0.0698469762281071,false
0.01,0.535,1.1629215762984,-0.22266682364602,0.0105755429753884,-0.0682507590489325,false
0.01,0.56,1.15920159428119,-0.206083530025956,0.00492490454279746,-0.0653652641262468,false
0.01,0.585,1.15502107843951,-0.190578470088952,0.000344911080733301,-0.0613977855318171,false
0.01,0.61,1.15046230525042,-0.176169218864596,-0.00340909715226812,-0.0566717469822579,false
0.01,0.635,1.14556155388089,-0.162783519071068,-0.00656745166201886,-0.0515711146435039,false
0.01,0.66,1.14018327447554,-0.149986025475301,-0.00944575291365692,-0.046433671441476,false
0.01,0.685,1.12600054712436,-0.122801381621263,-0.0173363186726183,-0.0398818828785574,false
0.01,0.71,1.12297269012521,-0.116788399627374,-0.0178690932545876,-0.0359011840430252,false
0.01,0.735,1.11363869974731,-0.100966951685085,-0.0169310613820503,-0.040554471350324,false
0.01,0.76,1.101978839402,-0.0868386122182174,-0.0156165758005441,-0.0457908074153479,false
0.01,0.785,1.08827998016122,-0.0738086390091641,-0.0144711872881647,-0.0503702436586042,false
0.01,0.81,1.07551282140158,-0.0622761831255386,-0.0132361830368303,-0.054407160815316,false
0.01,0.835,1.06380035817481,-0.051842016754377,-0.0119576039430402,-0.0573148243215947,false
0.01,0.86,1.05288221217722,-0.0422805457738908,-0.0106006592986549,-0.0584491762047532,false
0.01,0.885,1.0426050828852,-0.0334759986141807,-0.00912781563308478,-0.0571403262891447,false
0.01,0.91,1.03277709863572,-0.0252264368133146,-0.00754913634830567,-0.0526674932232904,false
