zeta,omega_ratio,solution_1,solution_2,solution_3
0.02,1,1.00094480672365,-0.00141275813036777,0.000470423724209727
0.03,0.99,0.997309938086131,0.0027685373793028,-7.59528666767533e-05
0.03,1,1.0022397636705,-0.00336047739401958,0.00112318624937097
0.03,1.01,1.00325518736621,-0.0036521852267268,0.000399421672362313
0.04,0.99,0.996940463218774,0.00333236005921272,-0.000270301058938856
0.04,1,1.00321794044543,-0.00482411469696751,0.00160864663400483
0.04,1.01,1.0008477125322,-2.69844736381273e-05,-0.000818304800073234
0.05,0.98,0.993848998307877,0.00664944550143979,-0.000495869370308652
0.05,0.99,0.998656888024193,0.000755372216183191,0.000590262068475048
0.05,1,1.00183166640174,-0.00274725651707397,0.000918062611349017
0.05,1.01,1.00476912785277,-0.00593465983833419,0.00116795625456205
0.05,1.02,1.0043964682377,-0.00416418637135846,-0.000229905522640772
0.06,0.98,0.997168997860093,0.00168579234614343,0.00114778358811474
0.06,0.99,0.993967930343611,0.00779529546748263,-0.0017607037556021
0.06,1,1.00257294820576,-0.00386991474604678,0.00129943944751863
0.06,1.01,1.00509154786737,-0.00641402520894515,0.00132490143878807
0.06,1.02,1.0050141942509,-0.00508547659468058,7.36584785894199e-05
0.07,0.98,0.992744200175976,0.00830784727559314,-0.00104947305374383
0.07,0.99,0.993076208220863,0.00912799792103599,-0.00220168389218077
0.07,1,0.997803798570904,0.00329338137695198,-0.00109470741946884
0.07,1.01,1.00345950681225,-0.003972991980661,0.000515909551488309
0.07,1.02,1.00266572248455,-0.00157226213429375,-0.00109108383942433
0.07,1.03,1.00778841903915,-0.00811552998590317,0.000329442325943484
0.08,0.96,0.989104829305929,0.0109981928574765,-0.00010033824184196
0.08,0.97,0.992140316230183,0.00785208591657915,1.0226113526845e-05
0.08,0.98,0.99213569467764,0.00922377943103373,-0.00135689983765575
0.08,0.99,1.00260648349143,-0.00515146411376253,0.00254750223319069
0.08,1,1.00627684248152,-0.00939698183968092,0.00312261113018988
0.08,1.02,1.00215338744504,-0.000822709590820604,-0.0013283005923263
0.08,1.03,1.00559750034168,-0.00478479475706198,-0.000810375958562595
0.09,0.96,0.9877000728206,0.0131646613729199,-0.000862052617084015
0.09,0.97,0.989900027528202,0.0112139400205011,-0.00111133934920927
0.09,0.98,0.989863122595172,0.0126413733767388,-0.00250192204889104
0.09,0.99,1.00086803810269,-0.00255243377670246,0.00168691763075063
0.09,1,0.99761976233871,0.00354694134148534,-0.00116423025830446
0.09,1.01,1.00188728364279,-0.00159293349494245,-0.000291926627952333
0.09,1.02,1.00362260342642,-0.00300513146304472,-0.00061509554911986
0.09,1.03,1.00718010149777,-0.00719794828683244,2.0177968090051e-05
0.09,1.04,1.01106764811205,-0.0118655126079124,0.000800149636742409
0.1,0.95,0.986399217887759,0.0136201791349595,-1.66562751906915e-05
0.1,0.96,0.989314255158545,0.0107211891259704,-3.2761830406009e-05
0.1,0.99,1.00259859292735,-0.00513862393909259,0.0025425525866729
0.1,1,1.00478793400585,-0.00717841079589439,0.00239294914346571
0.1,1.01,1.00919426216155,-0.0125909339860564,0.00339909682230003
0.1,1.02,1.00211726394948,-0.000725090501556811,-0.00138979790680487
0.1,1.04,1.01038792543635,-0.0108411634369751,0.000455522953352348
0.11,0.95,0.988154755577302,0.0110661373888538,0.000781844647019069
0.11,0.96,0.988787294286848,0.0114853357711274,-0.000269946562582937
0.11,0.97,0.997358077800086,6.95937529410668e-05,0.00257495495540217
0.11,0.98,0.988421574658023,0.0148016338941611,-0.00322063453979145
0.11,1,1.00420844614421,-0.00629401683316908,0.00208804246974986
0.11,1.01,1.00351123724815,-0.00406881634360044,0.000560004193065519
0.11,1.02,1.00933577246272,-0.0115442381453042,0.00221084088155359
