zeta,omega_ratio,solution_1,solution_2,solution_3
0.01,1,0.999478559862178,0.000788695215174421,-0.000264782841570211
0.02,1,1.00158263795018,-0.00237271324091951,0.000792547734302893
0.03,0.99,0.998648689619607,0.000770380071078385,0.000583452512989805
0.03,1,0.998585951252084,0.00213492696781047,-0.000718406273288069
0.03,1.01,1.00257057206852,-0.00262185643662244,5.37080455307991e-05
0.04,0.99,0.999525377027915,-0.000556647931113086,0.00103379358111339
0.04,1,0.996840070628423,0.00474854866740577,-0.00158614714200316
0.04,1.01,1.00067900405627,0.000217410840003317,-0.000893991293872799
0.05,0.98,0.995785648438636,0.00374704582673526,0.000469880073848706
0.05,0.99,0.999731288319624,-0.000880896515010941,0.0011521314817021
0.05,1,1.00292433171535,-0.00438232391022867,0.00146046452278294
0.05,1.01,1.00411639755967,-0.00495581446839607,0.000841841188111956
0.05,1.02,1.00474508946445,-0.00467374228387432,-6.89713658370744e-05
0.06,0.98,0.996494990635289,0.0026714053662836,0.000836178797326754
0.06,0.99,0.995254989700032,0.00585167006056659,-0.00110413718928443
0.06,1,0.997002999172231,0.00448274687872864,-0.00148327305114437
0.06,1.01,0.999814171498219,0.00151568581816231,-0.00132743375423394
0.06,1.02,1.00703776285371,-0.00813081625085917,0.00109542992557688
0.07,0.97,0.990539341046238,0.0102812911387814,-0.000818005024173675
0.07,0.98,0.995608472415931,0.00399946479703284,0.000394637654240834
0.07,0.99,0.996541122254743,0.00393095786249593,-0.000469557882149845
0.07,1,1.00233383241511,-0.00351628632608542,0.00118492701880742
0.07,1.01,1.00079502799329,2.54869582023654e-05,-0.000818090640976932
0.07,1.02,1.002895836394,-0.00189522521998593,-0.000998235542007748
0.07,1.03,1.00789853386798,-0.0082354864352389,0.000339282159337409
0.08,0.97,0.992331513323809,0.00755837940173992,0.000112735805440223
0.08,0.98,0.998094928525521,0.000285404862549231,0.00162224085931653
0.08,0.99,1.00156335697015,-0.00360104765392182,0.00204021286363198
0.08,1,0.995433319547214,0.00685933428037396,-0.00229018170010614
0.08,1.01,1.00553712185815,-0.00707379624499449,0.00153909814666131
0.08,1.02,1.00173803710343,-0.000151738115828245,-0.00158392362367249
0.08,1.03,1.00755361103065,-0.0077535614032628,0.000202281367554099
0.09,0.96,0.99143543338817,0.00750728148980717,0.00105996884654707
0.09,0.98,0.99133973089368,0.0104060681092623,-0.00174322427216946
0.09,0.99,0.997706044254496,0.00219573367470813,0.000100743824440616
0.09,1,1.00334758343681,-0.0050217755141319,0.00167666458594623
0.09,1.01,1.00162028397997,-0.00118455174098149,-0.000433309030856519
0.09,1.02,1.00482342642142,-0.00481165377376738,-9.39602571042005e-06
0.09,1.03,1.006978130573,-0.00687598314895542,-9.9816996371559e-05
0.09,1.04,1.00802207253715,-0.00730734768528041,-0.000712439306488424
0.1,0.96,0.990297729489592,0.00928154644663226,0.000423405110251755
0.1,0.97,0.988948950133085,0.0126749493735615,-0.00162127266449211
0.1,0.98,0.995353247156622,0.0043893937625804,0.000259933667586802
0.1,0.99,1.00200338825436,-0.00428843837852942,0.00228757338553932
0.1,1,0.993486065606922,0.00975228575066436,-0.00323587812512227
0.1,1.01,1.0017177274869,-0.00135588411270768,-0.000359419170514129
0.1,1.02,1.00647490744034,-0.00726312300510533,0.000790591167332776
0.1,1.03,1.00592324905531,-0.00526204245505067,-0.000658877423699624
0.1,1.04,1.01189562293455,-0.0131103300669844,0.00121699238580353
0.11,0.95,0.986102878411949,0.014120724102537,-0.000220863983474423
0.11,0.96,0.986529609514233,0.0148731553032736,-0.00140008137343416
0.11,0.97,0.992783337021471,0.00688245321217349,0.000336838225592439
0.11,0.98,0.992802804217033,0.00819969682341165,-0.000999925844980746
0.11,0.99,1.00060662864328,-0.00217739563142195,0.00157328962134884
0.11,1,1.0029833939812,-0.00448429760359166,0.00150337647908937
0.11,1.01,1.00953901784691,-0.0130409183070039,0.00350432280534744
0.11,1.02,1.01011163387541,-0.0127376559783036,0.0026283984731932
0.11,1.03,1.00458322217752,-0.00327237228326077,-0.00130851991110033
0.11,1.04,1.00829134190123,-0.00771923111994377,-0.00056982492035909
0.11,1.05,1.01360102078656,-0.0145876273097677,0.000988849020752277
0.12,0.94,0.983242502432093,0.0169031544174843,-0.000142858657444592
0.12,0.95,0.983433213452922,0.0181045183875121,-0.00153499248938581
0.12,0.96,0.990906990695338,0.00833905280261123,0.000756638680987163
0.12,0.98,0.999552818610914,-0.00191961764858297,0.00236937400472533
0.12,0.99,0.994694967036184,0.00665734220843859,-0.00134978531377487
0.12,1,0.993890124115853,0.00920585146516276,-0.00309350470793115
