zeta,omega_ratio,solution_1,solution_2,solution_3
0.01,1,1.000000824,8.24E-07,8.24E-07
0.02,1,1.000000824,8.24E-07,8.24E-07
0.03,1,1.000000824,8.24E-07,8.24E-07
0.03,1.01,1.003211985,-0.003591737,0.000382176
0.04,1,1.000000824,8.24E-07,8.24E-07
0.04,1.01,1.000538199,0.000426634,-0.00096241
0.05,1,1.000000824,8.24E-07,8.24E-07
0.05,1.01,1.003696245,-0.00432169,0.000627869
0.05,1.02,1.004494662,-0.004302933,-0.000189353
0.06,1,1.000000824,8.24E-07,8.24E-07
0.06,1.01,0.999763534,0.001594412,-0.001355523
0.06,1.02,1.004016925,-0.003582854,-0.000431695
0.07,1,1.000000824,8.24E-07,8.24E-07
0.07,1.01,1.006700799,-0.008805891,0.002107515
0.07,1.02,1.006159035,-0.00679296,0.000636301
0.07,1.03,1.006692607,-0.006447389,-0.000242887
0.08,1,1.000000824,8.24E-07,8.24E-07
0.08,1.01,1.0074191,-0.009898448,0.002481771
0.08,1.02,1.007937053,-0.009457835,0.001523158
0.08,1.03,1.009721028,-0.011011615,0.001292918
0.09,1,1.000000824,8.24E-07,8.24E-07
0.09,1.01,1.00289592,-0.003133498,0.000240003
0.09,1.02,1.002727446,-0.001664999,-0.001060071
0.1,1,1.000000824,8.24E-07,8.24E-07
0.1,1.01,1.001719405,-0.001379626,-0.000337354
0.1,1.02,1.01024935,-0.012947565,0.002700591
0.1,1.03,1.010348425,-0.011959806,0.001613713
0.1,1.04,1.010949258,-0.011721674,0.000774703
0.11,1,1.000000824,8.24E-07,8.24E-07
0.11,1.01,1.004174598,-0.005049731,0.000877557
0.11,1.02,1.009641492,-0.012071634,0.00243252
0.11,1.03,1.007321598,-0.007366417,4.71E-05
0.11,1.04,1.01161093,-0.012672742,0.001064097
0.11,1.05,1.012398533,-0.012765014,0.000368723
0.12,1,1.000000824,8.24E-07,8.24E-07
0.12,1.01,1.003262692,-0.00366617,0.000405903
0.12,1.02,1.01154546,-0.014916758,0.003373675
0.12,1.03,1.0131629,-0.016165144,0.003004575
0.12,1.04,1.010292876,-0.010751018,0.000460429
0.12,1.05,1.010960532,-0.010610762,-0.000347527
0.13,1,1.000000824,8.24E-07,8.24E-07
0.13,1.01,1.001424595,-0.000910191,-0.000511981
0.13,1.02,1.00352208,-0.002870248,-0.000649455
0.13,1.03,1.006533506,-0.006203193,-0.000327983
0.13,1.04,1.007203921,-0.006063226,-0.00113841
0.13,1.05,1.011261441,-0.011076253,-0.000182945
0.13,1.06,1.012907823,-0.012445672,-0.000459952
0.14,1,1.000000824,8.24E-07,8.24E-07
0.14,1.01,1.000587718,0.000392106,-0.000977402
0.14,1.02,0.995717992,0.008834871,-0.004550485
0.14,1.03,1.0033634,-0.00148046,-0.001880609
0.14,1.04,1.003298482,-0.000233829,-0.003062368
0.14,1.05,1.016349466,-0.018717476,0.002370252
0.14,1.06,1.012923165,-0.012478991,-0.000441974
0.15,1,1.000000824,8.24E-07,8.24E-07
0.15,1.01,1.001521471,-0.001000303,-0.000518746
0.15,1.02,1.002192358,-0.000803905,-0.001386079
