zeta,omega_ratio,solution_1,solution_2,solution_3
0.01,1,1.000000824,8.24E-07,8.24E-07
0.02,1,1.000000824,8.24E-07,8.24E-07
0.02,1.01,1.002485408,-0.002500309,1.73E-05
0.03,1,1.000000824,8.24E-07,8.24E-07
0.03,1.01,1.001722063,-0.00133788,-0.00038176
0.04,1,1.000000824,8.24E-07,8.24E-07
0.04,1.01,1.001315359,-0.000730721,-0.000582215
0.05,1,1.000000824,8.24E-07,8.24E-07
0.05,1.01,1.005304979,-0.006716896,0.00141434
0.05,1.02,1.004931475,-0.004959122,3.00E-05
0.06,1,1.000000824,8.24E-07,8.24E-07
0.06,1.01,1.006133855,-0.007952809,0.001821377
0.06,1.02,1.00391255,-0.003431338,-0.000478836
0.07,1,1.000000824,8.24E-07,8.24E-07
0.07,1.01,1.004676974,-0.005754676,0.001080125
0.07,1.02,1.007504885,-0.008818837,0.001316328
0.07,1.03,1.008829226,-0.00967364,0.000846745
0.08,1,1.000000824,8.24E-07,8.24E-07
0.08,1.01,1.003502245,-0.004003498,0.000503677
0.08,1.02,1.008993358,-0.011053961,0.002062979
0.08,1.03,1.007041981,-0.00698043,-5.92E-05
0.09,1,1.000000824,8.24E-07,8.24E-07
0.09,1.01,1.002582224,-0.002660346,8.05E-05
0.09,1.02,1.009786924,-0.012229809,0.00244526
0.09,1.03,1.006622006,-0.006359218,-0.000260456
0.09,1.04,1.007765243,-0.006959786,-0.00080317
0.1,1,1.000000824,8.24E-07,8.24E-07
0.1,1.01,1.001624417,-0.001173692,-0.000448303
0.1,1.02,1.005852419,-0.006358218,0.000508175
0.1,1.03,1.011612059,-0.013814175,0.002204446
0.1,1.04,1.00886834,-0.008603664,-0.00026239
0.11,1,1.000000824,8.24E-07,8.24E-07
0.11,1.01,1.002918982,-0.003178167,0.000261609
0.11,1.02,1.011462075,-0.014739977,0.003280277
0.11,1.03,1.007133258,-0.007136845,5.92E-06
0.12,1,1.000000824,8.24E-07,8.24E-07
0.12,1.01,0.997739808,0.004628258,-0.002365642
0.12,1.02,0.997458656,0.0062661,-0.00372238
0.12,1.03,1.003538427,-0.001750016,-0.001786079
0.12,1.04,1.005089065,-0.00292385,-0.002162929
0.12,1.05,1.014719972,-0.01624175,0.001524019
0.13,1,1.000000824,8.24E-07,8.24E-07
0.13,1.01,1.001698206,-0.001306636,-0.000389147
0.13,1.02,1.003510659,-0.002860884,-0.000647398
0.13,1.03,1.007841842,-0.008128111,0.000288598
0.13,1.04,1.014247906,-0.016611764,0.002366143
0.13,1.05,1.015724477,-0.017739556,0.00201732
0.13,1.06,1.014029511,-0.014166216,0.000138905
0.14,1,1.000000824,8.24E-07,8.24E-07
0.14,1.01,1.00273886,-0.002888344,0.000151908
0.14,1.02,1.009281225,-0.011506976,0.002228128
0.14,1.03,1.014746364,-0.018542173,0.00379814
0.14,1.04,1.011914114,-0.013177509,0.001265682
0.14,1.05,1.016605413,-0.01909621,0.002493039
0.14,1.06,1.015058822,-0.015666661,0.000610038
0.15,1,1.000000824,8.24E-07,8.24E-07
0.15,1.01,1.000158767,0.000977415,-0.001133757
