zeta,omega_ratio,solution_1,solution_2,solution_3,power,test_FLAG
0.01,0.01,-2.09881406922733e-05,-2.06044065194207e-06,1.44062133660628e-05,-8.55710943892409e-12,true
0.01,0.06,1.65758636768549e-06,-3.25886300279739e-06,1.7742463940677e-07,-1.34032548989431e-12,true
0.01,0.11,-8.90256716171551e-06,1.22356750657875e-06,1.28674719556471e-06,-5.43543433169961e-12,true
0.01,0.16,8.75179056908791e-07,-3.10437307052223e-07,-1.69591529903071e-06,-9.10599621941758e-13,true
0.01,0.21,-2.3828191752108e-07,-3.69951831079671e-10,-1.34567848931046e-05,-3.50742577018375e-11,true
0.01,0.26,3.64140326359263e-06,1.17169809144988e-06,-6.79889484195323e-07,-2.37900441967166e-12,true
0.01,0.31,8.25185197061487e-07,2.23661835966144e-05,-6.89067189940642e-07,-9.50326578006435e-11,true
0.01,0.36,7.61508068964443e-07,-2.71093276578324e-06,-4.80028035444826e-07,-1.60484662854735e-12,true
0.01,0.41,-1.00111433871548e-06,-2.2646186829869e-07,-7.07254138224888e-07,-9.79067882345886e-13,true
0.01,0.46,1.46039957251487e-06,3.25332844885191e-05,-1.75057507063997e-06,-9.32109170087817e-11,true
0.01,0.51,1.58798130918276e-06,0.000997937307422122,8.68707153892866e-07,-1.32732827973526e-08,true
0.01,0.56,-1.37739242410173e-05,3.4041840911211e-05,-2.90701106430806e-07,-3.49120331119292e-10,true
0.01,0.61,0.0165071836829086,-6.01996472647266e-09,0.000905131165901163,-7.19344332754533e-05,false
0.01,0.66,0.0561117009671083,-6.64640152697391e-08,-0.00562314099706748,-0.000228001488579773,false
0.01,0.71,0.054973307986002,3.11802444944711e-07,-0.00528532800357327,-0.000255697736603252,false
0.01,0.76,0.0620649403489519,0.000908679116845678,-0.00432038863603937,-0.000326148003581928,false
0.01,0.81,-1.43747110352882e-05,0.000170289085042196,0.000145895693221761,-2.88725416740745e-07,true
0.01,0.86,0.0570908636237259,-0.000499476413175404,-0.00214464501828911,-0.000251595887883388,false
0.01,0.91,-0.000245940965376676,-2.81098082995318e-10,1.29144094057052e-05,-1.24472938072773e-08,true
0.01,0.96,-4.18048939442663e-05,0.000124534330625412,6.45060440635344e-06,-4.37671592610256e-08,true
0.06,0.01,2.82582086526113e-06,-2.20715946440876e-05,-1.63094440370382e-06,-5.13055200528227e-12,true
0.06,0.06,1.23664793144205e-06,1.1033956112953e-06,3.11529197516432e-07,-3.50158203757373e-13,true
0.06,0.11,3.11455921761592e-06,1.5196322017777e-07,-1.82699474243567e-06,-1.52315059862281e-12,true
0.06,0.16,9.34451649077764e-07,-2.15089890402978e-06,-5.41862640672882e-07,-8.9591420574223e-13,true
0.06,0.21,-6.78602076001935e-06,-2.62234690271478e-05,5.79160528569472e-05,-1.03415184063901e-09,true
0.06,0.26,-1.57695130035221e-06,-3.65882525084691e-07,3.50122638495004e-07,-3.69046588809534e-13,true
0.06,0.31,-5.22304233012141e-06,-5.49581372820115e-09,-0.000267935961822097,-2.64399362361156e-09,true
0.06,0.36,-9.78255075507435e-05,1.25620790606091e-06,2.66441622759669e-05,-1.0822385186496e-09,true
0.06,0.41,1.82329105435989e-07,-7.69294145019139e-07,6.71708646542462e-07,-3.41883987422784e-13,true
0.06,0.46,0.000447046641513379,0.0248297133266031,0.000213039925932426,-2.4683212699573e-05,false
0.06,0.51,3.23377073959115e-06,4.35019112271788e-10,5.11522485191537e-06,-3.84927225336464e-11,true
0.06,0.56,-3.17168190759314e-05,-0.000160146626364656,0.00019412765592428,-8.48888160142329e-08,true
0.06,0.61,0.025309516765247,1.00769506830274e-07,-0.00346827206282875,-3.3569488440731e-05,false
0.06,0.66,0.0571119829210983,2.50207088374061e-07,-0.00506180617413808,-0.000252583245132512,false
0.06,0.71,0.0568292609770609,9.99528934829304e-05,-0.0061095865467969,-0.000176752342665631,false
0.06,0.76,0.0618518805931198,0.00110502961863038,-0.0052389441029752,-0.00026832249086223,false
