zeta,omega_ratio,solution_1,solution_2,solution_3,power,test_FLAG
0.01,0.01,-0.743623741221516,0.577948806061682,0.22141473006056,-0.00828021784643679,false
0.01,0.06,0.742106706310154,0.579273713376038,-0.222630832808427,-0.0490512714571074,false
0.01,0.11,-0.745665600623019,0.576340950669498,0.226590019478236,-0.087325960630301,false
0.01,0.16,-0.752535535007655,0.570597533874593,0.233329838010333,-0.121056614141444,false
0.01,0.21,-0.755174407155391,0.568511984665651,0.242356279102675,-0.147998317804002,false
0.01,0.26,2.2217875459269e-05,2.302566525137e-05,0.999999334316087,-0.14676216871162,false
0.01,0.31,-5.02839774807426e-07,1.09127128014671e-06,1.00002155637969,-0.0547675610878417,false
0.01,0.36,1.22105470169943e-08,-5.86251369171797e-08,1.00002220439798,-0.0789466972964409,false
0.01,0.41,1.40341734422762e-05,0.999998614338663,-6.3702911793447e-06,-0.127757058114797,false
0.01,0.46,2.79732736866024e-06,0.99999859355662,4.97932447841882e-06,-0.0626955204286302,false
0.01,0.51,-5.08500303629486e-07,1.00000327887591,-1.10898437397956e-06,-0.0126773281165511,false
0.01,0.56,7.71402484964319e-06,1.00000007167146,-2.93867613961709e-06,-0.130468264832452,false
0.01,0.61,-5.35779524098679e-06,1.00000380266721,2.71840957310598e-06,-0.283407648550875,false
0.01,0.66,1.1287356058398,-7.67448778860197e-06,-0.128894577320125,-0.0777248840426304,false
0.01,0.71,1.09950865377834,5.36324923660024e-06,-0.0995081496191057,-0.0858981368816527,false
0.01,0.76,1.07674605261982,5.88971550166035e-06,-0.0767450982437607,-0.0911610858825019,false
0.01,0.81,1.05785193411192,1.13651056409166e-06,-0.0578506059816453,-0.090939891563976,false
0.01,0.86,1.03804978132016,-0.0125949891603636,-0.0380479369524815,-0.0833896806601456,false
0.01,0.91,1.01076874526334,-2.07554786067659e-06,-0.0107664858417852,-0.0614435917965723,false
0.01,0.96,1.00233181899191,7.27063888227982e-07,-0.00232939272379369,-0.0277921376139862,false
0.06,0.01,-0.111801055023836,0.987661739559915,0.111793501565773,-0.0107354568948628,false
0.06,0.06,-0.756344804282395,0.567136941771514,0.225249177494052,-0.0485286390495904,false
0.06,0.11,-0.749860159446397,0.572792811670609,0.228565889447673,-0.0855860948443516,false
0.06,0.16,-0.741153876258362,0.580379602598234,0.234150730142937,-0.117399447692025,false
0.06,0.21,-0.748093854900254,0.574692971108831,0.245429262847115,-0.141698372667167,false
0.06,0.26,-4.03869732542808e-05,-5.97779672045881e-05,0.999987514406203,-0.120521415767296,false
0.06,0.31,2.21976318426039e-06,2.71116011822621e-06,1.0000196526556,-0.0295889148465411,false
0.06,0.36,1.13125784344217e-11,1.37081644352787e-10,1.00002225228249,-0.0439113725227304,false
0.06,0.41,-4.96935611190827e-06,0.999997364608887,1.52646261012624e-05,-0.0998965047656503,false
0.06,0.46,9.82650593323446e-06,0.999993565658312,8.00915720114372e-06,-0.0362267577665678,false
0.06,0.51,-7.03437688246526e-05,0.999959177258741,-3.59669636531152e-05,-0.00331078746926242,false
0.06,0.56,1.29338672426409e-05,0.999995187256533,1.62360031459585e-06,-0.0858543787115435,false
0.06,0.61,-1.75824693176909e-06,1.00000572881376,-4.77442648999366e-06,-0.221712035138889,false
0.06,0.66,1.1459906003513,1.20477683320482e-05,-0.153910662600369,-0.0572009486424365,false
0.06,0.71,1.12059764813819,1.12465160956776e-05,-0.120597561156858,-0.0678505102779779,false
0.06,0.76,1.09476900605003,1.60941982295115e-06,-0.0947684081080622,-0.0755563428833606,false
0.06,0.81,1.07276442797127,-0.0072182654825379,-0.0727633233988477,-0.08104232110254,false
0.06,0.86,1.01007399150547,-8.45368217501379e-06,-0.0100717182792925,-0.0734724078196856,false
0.06,0.91,0.999112803988516,1.51912800966449e-06,0.000889685940622232,-0.0429120771365775,false
0.06,0.96,0.994284237843318,-5.2859271280131e-08,0.00571834760566876,-0.00408180108958203,false
0.11,0.01,-0.10210358105371,0.989686816376553,0.102095812746756,-0.0106670046632939,false
0.11,0.06,-0.753573313623577,0.569528289315416,0.225515844312295,-0.0480127891771303,false
0.11,0.11,-0.742519726687982,0.579080927539102,0.228889165566638,-0.0838848989570207,false
0.11,0.16,-0.739017220916401,0.582254717652237,0.236265165223777,-0.113852492540902,false
0.11,0.21,-0.139550892980047,0.597632487851004,0.553791207840997,-0.165296775874278,false
0.11,0.26,1.18252023550703e-05,1.28846800955375e-05,1.00000958018371,-0.0998182954452605,false
0.11,0.31,-7.5330298943896e-05,-0.000128112089432711,0.999944999289341,-0.0188701886515536,false
0.11,0.36,-1.17023857226406e-05,1.73266200241482e-05,1.00001215067456,-0.0283331053540482,false
0.11,0.41,1.4649574393281e-05,1.00000033577432,-1.04487610773652e-05,-0.0793672298313118,false
0.11,0.46,1.07382967058809e-05,0.999989398974107,1.54644478310594e-05,-0.0237717387485627,false
0.11,0.51,1.41037612796473e-05,1.00000734952004,-2.39934692964013e-05,-0.00183929573445667,false
0.11,0.56,-1.3242685763642e-05,1.00000064845545,-1.01572106401352e-05,-0.0603434813429668,false
0.11,0.61,-6.37048173480195e-06,1.00000384173184,3.65899615523602e-06,-0.176217978437962,false
0.11,0.66,1.1523083603911,1.40039008889649e-05,-0.171651501444805,-0.0434136655729085,false
0.11,0.71,1.13834951383768,1.35231937023081e-05,-0.140856536620036,-0.0523871265366581,false
0.11,0.76,1.11225523454823,4.4684896902539e-06,-0.112254982495071,-0.0619492660985133,false
0.11,0.81,1.03149480718418,-0.149360453212793,-0.0314914806151799,-0.0534656184420847,false
0.11,0.86,1.03245565216061,0.113281136740594,-0.0324549420061087,-0.0590700361971222,false
0.11,0.91,0.989968404247806,5.18159824218673e-07,0.0100342665585318,-0.0202273628332996,false
0.11,0.96,0.989420088552699,-0.000244361739900396,0.0105825955205399,0,true
0.16,0.01,-0.761282431417583,0.562844370404188,0.224119110153137,-0.0082365134323016,false
0.16,0.06,-0.759918073315098,0.564087961053465,0.227053678811542,-0.0475080405569781,false
0.16,0.11,-0.757379560755429,0.566398953765519,0.232370208246917,-0.0822210079342824,false
0.16,0.16,-0.748511480725989,0.574214987426792,0.240167890449233,-0.110414987633613,false
