zeta,omega_ratio,solution_1,solution_2,solution_3,power,test_FLAG
0.01,0.01,0.539846966492854,3.02970509850363e-06,-0.0190745362202507,-0.0014067151916642,false
0.01,0.06,0.971959876962967,-5.48621635734592e-06,-0.0356483512378403,-0.0271912041612246,false
0.01,0.11,1.47348166379862,-8.07629539398082e-06,-0.0579452129498312,-0.113012076765313,false
0.01,0.16,1.26506181619702,7.82675719596868e-06,-0.0552441288483723,-0.118515940893707,false
0.01,0.21,1.14574729335013,8.03410842151716e-06,-0.05996343732865,-0.12351071051882,false
0.01,0.26,0.655685082676594,5.56569078443917e-06,-0.0433091632816845,-0.047789687998593,false
0.01,0.31,1.02932890270552,1.14102658507087e-05,-0.0951074588289934,-0.130878902697396,false
0.01,0.36,0.639397131071388,1.5948974456606e-05,-0.118761354328102,-0.051479615562766,false
0.01,0.41,1.11157052385018,-3.12431204599649e-05,-0.271962319806583,-0.125369499922462,false
0.01,0.46,1.22567624602232,-7.88021158274808e-06,-0.2579855687139,-0.119935895994625,false
0.01,0.51,1.35406389017558,6.1095943086738e-06,-0.253050163818755,-0.115861747921762,false
0.01,0.56,1.48719279456356,2.11479952011958e-06,-0.253776327377631,-0.112743325053554,false
0.01,0.61,1.49427076061112,3.44906507380079e-06,-0.217525539126878,-0.112607062547991,false
0.01,0.66,1.37447194358156,-9.24538911674597e-06,-0.156956138957548,-0.115251684792325,false
0.01,0.71,1.28255695184504,6.33796289376998e-06,-0.116074478342382,-0.116879886133308,false
0.01,0.76,1.23360145902986,6.79250284483447e-06,-0.0879249724245589,-0.119655510823376,false
0.01,0.81,1.21679867539804,1.26206836754843e-06,-0.0665428902376099,-0.120321189671577,false
0.01,0.86,1.24319810394074,-2.67555399374821e-06,-0.0493854266569217,-0.118073710068479,false
0.01,0.91,1.38425094553338,7.58831933990271e-06,-0.0180934235881451,-0.115004005648293,false
0.01,0.96,1.96607187983877,2.00029324482523e-06,-0.00485158387973903,-0.10691188251317,false
0.06,0.01,0.53989715845555,2.30258627137129e-06,-0.0191082607208665,-0.00140530884721115,false
0.06,0.06,0.97463531066858,5.31885914295754e-06,-0.0358798176300391,-0.0271449578560493,false
0.06,0.11,0.799661990589877,4.85946440689221e-06,-0.0323588457397307,-0.0328382370774577,false
0.06,0.16,1.27601535068279,5.53487526066788e-06,-0.0597894423275131,-0.118139059315317,false
0.06,0.21,1.15910455531566,-8.23930896166233e-06,-0.0653180483073608,-0.122859042083006,false
0.06,0.26,0.661085101297157,-1.39271691805563e-06,-0.0479193166094809,-0.046733174244948,false
0.06,0.31,0.648860288270951,-9.14093093679648e-06,-0.0690759730924899,-0.049236405935517,false
0.06,0.36,0.534433796934471,2.80830677849668e-05,-0.147979226971513,-0.0320744862305572,false
0.06,0.41,1.16509953240264,1.80598655929984e-05,-0.272290052244554,-0.122556159271034,false
0.06,0.46,1.2768314673388,1.0273898470246e-05,-0.26022009706468,-0.11807124472727,false
0.06,0.51,1.39929756925117,-1.24963989456532e-05,-0.256026926640269,-0.114629870777861,false
0.06,0.56,1.52717624929959,6.28485946356253e-06,-0.257016245051757,-0.112006841720957,false
0.06,0.61,1.65754830549572,-1.4910823868166e-06,-0.261410812333041,-0.11001000398498,false
0.06,0.66,1.59559310513037,1.70264749085373e-05,-0.214293831197689,-0.110888183478537,false
0.06,0.71,1.44939325288271,1.50970191270238e-05,-0.155982048651751,-0.113507816954974,false
0.06,0.76,1.35154393165339,2.15980596620786e-06,-0.1169960228254,-0.115155893023126,false
0.06,0.81,1.3095289696198,-7.08729529104565e-06,-0.0901387670699357,-0.117065954292615,false
0.06,0.86,0.740241286282921,1.29780540385207e-06,-0.0393108161259298,-0.0367668817531407,false
0.06,0.91,1.6057917402843,3.02405427895342e-06,0.000546027002524984,-0.110787229134656,false
0.06,0.96,4.94672164567774,-3.94936194430781e-07,0.0284363500818742,-0.101032737521374,false
0.11,0.01,0.508238228801656,2.87872618631307e-06,-0.0181347401764954,-0.00124384610438641,false
0.11,0.06,0.625293702940891,3.66847168813724e-06,-0.0236796147675271,-0.0110926325758975,false
0.11,0.11,1.49126792493442,9.03604503991671e-06,-0.0634996835067562,-0.112663651665126,false
0.11,0.16,0.728952455355859,-5.12444331365142e-06,-0.0360509969953801,-0.0377698377192355,false
0.11,0.21,1.17279208358518,9.72613323055835e-06,-0.0711455700770533,-0.122210993717108,false
0.11,0.26,1.10579036564334,-1.14164565543107e-05,-0.0874689435014678,-0.125699794004748,false
0.11,0.31,0.656508225877303,1.25124032254138e-05,-0.0808488669611238,-0.0476236160588301,false
0.11,0.36,0.669653008099993,3.34139454304687e-05,-0.176848947669333,-0.0451931120678297,false
0.11,0.41,1.21228270040731,1.30933900186152e-05,-0.273265028035728,-0.120498113258886,false
