zeta,omega_ratio,solution_1,solution_2,power,test_FLAG
0.01,0.01,2.78117601665324e-05,0.999988544567711,-0.00999164646350756,false
0.01,0.02,2.63176470204313e-05,0.999989292800781,-0.0199513655927277,false
0.01,0.03,2.48093007069355e-05,0.999990048161643,-0.0298551586654041,false
0.01,0.04,2.32841685546125e-05,0.999990811928642,-0.0396790268552456,false
0.01,0.05,2.17403973365336e-05,0.999991585029851,-0.049398971167842,false
0.01,0.06,2.01735389192218e-05,0.999992369692839,-0.0589909926177388,false
0.01,0.07,1.85832991808584e-05,0.999993166064898,-0.068431091838507,false
0.01,0.08,1.69675561441905e-05,0.999993975208688,-0.0776952693687064,false
0.01,0.09,1.53178920540642e-05,0.999994801339715,-0.0867595261577713,false
0.01,0.1,1.363852884567e-05,0.999995642343687,-0.0955998618598046,false
0.01,0.11,1.19205999229442e-05,0.999996502660884,-0.104192277152609,false
0.01,0.12,1.01596396247027e-05,0.999997384527652,-0.112512772162972,false
0.01,0.13,8.35871346370108e-06,0.999998286408822,-0.120537345828788,false
0.01,0.14,6.50878671988778e-06,0.999999212828867,-0.128241998286805,false
0.01,0.15,-1.96947014544935e-05,1.00000252989483,-0.135603596261503,false
0.01,0.16,2.64227202274157e-06,1.00000114913079,-0.142595536918208,false
0.01,0.17,6.21715194419113e-07,1.00000216100024,-0.149196420035773,false
0.01,0.18,-1.46230084169358e-06,1.00000320464926,-0.155381378007965,false
0.01,0.19,-3.62319233576853e-06,1.00000428679654,-0.161126408250039,false
0.01,0.2,-5.87249629897429e-06,1.00000541321967,-0.166407507375695,false
0.01,0.21,-3.07278168565707e-05,0.999997021970382,-0.171197467198637,false
0.01,0.22,-3.26005645359817e-05,0.99999608706194,-0.175477817486221,false
0.01,0.23,-8.57731551788013e-06,1.00000676775912,-0.179227890628087,false
0.01,0.24,-2.72071719923055e-05,0.999998779537962,-0.182411807213373,false
0.01,0.25,-2.4040854057385e-05,1.00000036021933,-0.185015420187318,false
0.01,0.26,-2.07023947074709e-05,1.00000202683671,-0.187011295638281,false
0.01,0.27,-1.71923068271515e-05,1.00000377913406,-0.188375427184155,false
0.01,0.28,-1.34750843104914e-05,1.00000563483665,-0.189083813233826,false
0.01,0.29,9.72512683677404e-06,0.999997602126191,-0.189108311244667,false
0.01,0.3,1.29667864368661e-05,0.999995978743836,-0.188431732648203,false
0.01,0.31,1.62682139550908e-05,0.99999432543046,-0.18702736421254,false
0.01,0.32,1.96248668084596e-05,0.999992644460931,-0.184871213350634,false
0.01,0.33,2.61900798651715e-05,0.999989356684808,-0.181940067502758,false
0.01,0.34,2.26512359031175e-05,0.999991128893353,-0.17821434376121,false
0.01,0.35,1.59420743218706e-05,0.999994488757087,-0.173665571638249,false
0.01,0.36,8.69563432093365e-06,0.999998117683094,-0.168269332659072,false
0.01,0.37,8.49976274227006e-07,1.00000204668996,-0.162001595125212,false
0.01,0.38,-6.40839726881916e-06,1.00000568159214,-0.154838706637325,false
0.01,0.39,8.95681567418732e-07,1.00000202380133,-0.146761128635032,false
0.01,0.4,8.36515247069229e-06,0.999998283184248,-0.137740689787634,false
0.01,0.41,1.83541905279228e-05,0.999993280799629,-0.127758470764452,false
0.01,0.42,2.47550648702661e-06,1.00000123264488,-0.116793461204745,false
0.01,0.43,1.80687860699926e-06,1.00000156748531,-0.104819973265771,false
0.01,0.44,-8.49096521432802e-07,1.00000289756425,-0.0918217741479251,false
0.01,0.45,4.36623769731364e-06,1.00000028579047,-0.0777822001988257,false
0.01,0.46,3.31276105480318e-06,1.00000081335832,-0.0626967565006595,false
0.01,0.47,-4.45437800243325e-06,1.00000470304387,-0.0465802432881409,false
0.01,0.48,-1.69763661084708e-07,1.0000025573629,-0.0295279895764083,false
0.01,0.49,-1.45340749773423e-06,1.00000320019558,-0.0120465658274697,false
0.01,0.5,-4.36219426390203e-05,0.999990584996953,-3.2052232125088e-20,true
0.01,0.51,-1.68484832863038e-07,1.00000255672247,-0.0126777397207726,false
0.01,0.52,-1.62397492564197e-06,1.00000328561361,-0.0329723252473479,false
0.01,0.53,-3.04464599666583e-06,1.00000399706781,-0.0552283581640815,false
0.01,0.54,1.44090538424359e-06,1.0000017507601,-0.0789457345033538,false
0.01,0.55,2.25680858877685e-06,1.00000134216603,-0.104031743179285,false
0.01,0.56,2.24479893178101e-06,1.00000134818032,-0.130470392730755,false
0.01,0.57,-1.58412615466788e-06,1.00000326565784,-0.158269755946531,false
0.01,0.58,-4.27516881690925e-06,1.00000461329816,-0.187443501791996,false
