zeta,omega_ratio,solution_1,solution_2,power,test_FLAG
0.01,0.01,2.63174354858138e-05,0.999989292906715,-0.019951365595721,false
0.01,0.02,2.32838630370795e-05,0.999990812081642,-0.0396790268687483,false
0.01,0.03,2.01744623282964e-05,0.999992369230407,-0.0589909925572987,false
0.01,0.04,1.69662691294871e-05,0.999993975853209,-0.0776952694790806,false
0.01,0.05,1.363790316466e-05,0.99999564265702,-0.0955998619253909,false
0.01,0.06,1.01568706100899e-05,0.99999738591434,-0.112512772501769,false
0.01,0.07,6.5059850019676e-06,0.999999214231932,-0.128241998673597,false
0.01,0.08,2.64537153282934e-06,1.0000011475786,-0.142595536448205,false
0.01,0.09,-1.46079329153568e-06,1.0000032038943,-0.155381378177699,false
0.01,0.1,-5.8729849675515e-06,1.00000541346439,-0.166407507313321,false
0.01,0.11,-3.25989167963383e-05,0.99999608788452,-0.175477817773286,false
0.01,0.12,-2.72058196443694e-05,0.999998780213077,-0.182411807458129,false
0.01,0.13,-2.07059741363631e-05,1.0000020250498,-0.187011294994959,false
0.01,0.14,-1.34734418392542e-05,1.0000056356566,-0.189083813520581,false
0.01,0.15,1.29690841223192e-05,0.999995977593184,-0.188431732162012,false
0.01,0.16,1.96248668553118e-05,0.999992644460907,-0.184871213350624,false
0.01,0.17,2.26572304819774e-05,0.999991125891344,-0.178214342941801,false
0.01,0.18,8.69535690101945e-06,0.999998117822023,-0.168269332690456,false
0.01,0.19,-6.40730350226325e-06,1.00000568104439,-0.154838706942873,false
0.01,0.2,8.3640250120708e-06,0.999998283748865,-0.137740690039153,false
0.01,0.21,2.47312900003648e-06,1.00000123383549,-0.116793461241539,false
0.01,0.22,-8.49070032210777e-07,1.00000289755098,-0.09182177414859,false
0.01,0.23,3.31789291362672e-06,1.00000081078835,-0.0626967554994409,false
0.01,0.24,-1.70401123726288e-07,1.00000255768213,-0.0295279893162619,false
0.01,0.25,-4.3622339002739e-05,0.999990584799082,-6.41050467059207e-20,true
0.01,0.26,-1.62577794655069e-06,1.00000328651654,-0.0329723245248242,false
0.01,0.27,1.44023207064241e-06,1.00000175109728,-0.0789457347091614,false
0.01,0.28,2.24404524248063e-06,1.00000134855776,-0.130470393144231,false
0.01,0.29,-4.277322946835e-06,1.00000461437692,-0.187443501524236,false
0.01,0.3,5.52726295128221e-06,0.999999704363625,-0.249990286629357,false
0.01,0.31,-1.50674114003457e-05,1.00000483991907,-0.318286247008249,false
0.01,0.32,1.00000247236159,-1.43588792167658e-06,-0.184876232258979,false
0.01,0.33,1.00000247238148,-3.44350022256288e-06,-0.181946104086005,false
0.01,0.34,1.00000247236415,-1.69468151782989e-06,-0.178218267451521,false
0.01,0.35,1.00000247233902,8.46433531793069e-07,-0.173667174801444,false
0.01,0.36,1.00000247231006,3.77497292823418e-06,-0.168268608258058,false
0.01,0.37,1.0000024723436,3.83305848640922e-07,-0.162001514197244,false
0.01,0.38,1.00000247238359,-3.66068408059667e-06,-0.154839171453074,false
0.01,0.39,1.00000247234103,6.43483720243257e-07,-0.146761087715779,false
0.01,0.4,1.00000247233186,1.56991470276144e-06,-0.137742016769199,false
0.01,0.41,1.00000247237321,-2.61082204960551e-06,-0.127759925978609,false
0.01,0.42,1.00000247232997,1.76283733104416e-06,-0.116793037552617,false
0.01,0.43,1.00000247232283,2.48303215834027e-06,-0.104819842167783,false
0.01,0.44,1.0000024723309,1.66791472944072e-06,-0.0918215474523919,false
0.01,0.45,1.00000247229795,4.99944567865969e-06,-0.0777826776118143,false
0.01,0.46,1.00000247274494,-4.01999137489548e-05,-0.0626971459119672,false
0.01,0.47,1.00000247232926,1.833141822073e-06,-0.0465808672387472,false
