zeta,omega_ratio,solution_1,solution_2,solution_3,power,test_FLAG
0.01,0.01,-0.985726711718319,0.0338636098236058,-0.0481415571616086,-0.00405146096135761,false
0.01,0.02,-0.578068806649195,0.643706541641412,0.183772999454537,-0.0169745623937381,false
0.01,0.03,-0.586568027049755,0.631187198679513,0.190785862527906,-0.0254272887789332,false
0.01,0.04,-0.58092941908756,0.638934083849868,0.18699399648933,-0.0338365386323983,false
0.01,0.05,0.498396304392357,0.550024536867235,-0.0484103626134933,-0.0368232817098656,false
0.01,0.06,0.493220685936081,0.557425452956298,-0.0506356459037222,-0.0442225008868125,false
0.01,0.07,-0.985927159178638,0.0362969476867413,-0.050374531930145,-0.0281812671014963,false
0.01,0.08,-0.574479834101626,0.644514106857399,0.187030634054994,-0.0668818898728369,false
0.01,0.09,-0.986485441376821,0.0371151888677297,-0.0506344901539106,-0.0360984566408696,false
0.01,0.1,0.496571615125533,0.556481119885706,-0.0530424035054361,-0.0724240471295764,false
0.01,0.11,0.499365085531651,0.552329247652597,-0.0516840031959622,-0.0791287576043569,false
0.01,0.12,0.497013628238321,0.555621801573471,-0.0526250905408181,-0.0859802235986915,false
0.01,0.13,0.499439885589559,0.556111809755333,-0.0555415194288693,-0.0924554122288952,false
0.01,0.14,0.497316126691268,0.559091638866442,-0.0563975814992836,-0.0990542739328601,false
0.01,0.15,0.497411757097882,0.558797950812568,-0.0561995179086467,-0.105385788375488,false
0.01,0.16,0.496878280393446,0.563680594609979,-0.0605488464975153,-0.111605830684065,false
0.01,0.17,-0.535061532283235,0.677256742089739,0.18810244166223,-0.134521560031196,false
0.01,0.18,-0.524839172918472,0.686358585366714,0.187089953210772,-0.141162431181351,false
0.01,0.19,-0.524998415411304,0.681838607228554,0.194098087463922,-0.14763163217003,false
0.01,0.2,0.497033963846403,0.571589910011434,-0.0686141674732318,-0.134589794738844,false
0.01,0.21,-0.194546822780595,0.64859672953531,0.545997790790542,-0.189799202406283,false
0.01,0.22,-0.000140195616374001,-0.000166574655337589,0.999935945003413,-0.181952226413975,false
0.01,0.23,-0.180128291617924,0.609492628120081,0.570684052379682,-0.187626419738085,false
0.01,0.24,-0.171563970669453,0.614642473551315,0.556969174082997,-0.185327379104031,false
0.01,0.25,3.83386987261687e-06,-6.54331041928072e-06,1.00000639406755,-0.158533518735301,false
0.01,0.26,4.47484628933713e-06,7.01727209651211e-06,0.999997445039155,-0.146758032942323,false
0.01,0.27,6.56125892207695e-06,1.64656816899392e-05,0.999991052863531,-0.132866522529069,false
0.01,0.28,-0.0581029322273627,-0.0908982492861312,0.944228326357784,-0.126374352349787,false
0.01,0.29,-0.000537312269325264,-0.000879918927109789,0.999485973789824,-0.0985657127984099,false
0.01,0.3,1.29681340064738e-06,-5.88455334356404e-06,1.00000620505059,-0.0777821515180762,false
0.01,0.31,-4.83649487077691e-07,1.18363900045788e-05,0.999994760967442,-0.0547635156338904,false
0.01,0.32,1.49812748164366e-06,2.06021592835391e-06,1.00000097873143,-0.02952771653265,false
0.01,0.33,1.82466513178046e-07,-2.4049794490507e-06,1.00000403113018,-0.00409432663314641,false
0.01,0.34,-1.83318646264826e-07,2.71489795408956e-06,1.00000071052334,-0.0126770700011834,false
0.01,0.35,-2.8389270876263e-06,-9.80008093609715e-06,1.00000916700898,-0.0439045399058349,false
0.01,0.36,-1.96056054806059e-06,3.37350939288095e-06,1.00000044890531,-0.0789451171747133,false
0.01,0.37,-0.00968183093205131,0.671768641005101,0.337949001182162,-0.123200137584172,false
0.01,0.38,-0.00651056477323695,0.707917872961114,0.298626884867417,-0.121047450665517,false
0.01,0.39,0.000382313957340924,0.72706846996592,0.272582242542809,-0.118319696300277,false
0.01,0.4,0.00754483416687372,0.7397095517979,0.252777715420715,-0.11573675095936,false
0.01,0.41,0.0130544019045759,0.776213176101445,0.210762752408593,-0.113172970179627,false
0.01,0.42,0.0206554875884222,0.819265280859871,0.160107407837373,-0.109409258591509,false
0.01,0.43,0.0232629395036191,0.895423508714785,0.081338560614258,-0.103090406375482,false
0.01,0.44,-0.13834716773475,0.936660641952663,0.0159300248315722,-0.113641711082989,false
0.01,0.45,-0.0765485584837193,0.965854284209563,0.00956305799753486,-0.0910927639698204,false
0.01,0.46,-0.0280100875776253,0.987771404556331,0.00371448565598472,-0.0680129325842264,false
0.01,0.47,-1.80416410475589e-07,1.00002217131374,2.09855839862183e-08,-0.0465825255190243,false
0.01,0.48,-1.18368867304286e-05,1.00001713209412,1.6532847215846e-06,-0.0295303561719112,false
0.01,0.49,-0.000108322760831269,0.999975135892071,1.45880832603003e-05,-0.0120695644227392,false
0.01,0.5,-0.0137570870514018,0.989279948375124,-0.00766070243634187,-7.90617148304334e-06,false
0.01,0.51,-0.00604515674878417,0.995624538871375,-0.00272955268845356,-0.0137884210430461,false
0.01,0.52,-3.67379552304212e-07,1.00002199190273,-1.5060331154247e-07,-0.032974357968201,false
0.01,0.53,-2.79461559861134e-05,1.000003092424,-1.03074465727537e-05,-0.0552360663253756,false
0.01,0.54,-0.00695235153482675,0.995388253059275,-0.00230317141393878,-0.0802836589433191,false
0.01,0.55,5.29292420400917e-05,0.999978347279319,-9.0265054021233e-06,-0.104041535938371,false
0.01,0.56,-1.55753704185784e-10,1.00002225141647,1.70637839431549e-10,-0.130472825507856,false
0.01,0.57,-0.0918308518711702,0.943158205445461,-0.0218488744542404,-0.170640685668629,false
0.01,0.58,0.0161127323902418,0.986866559330274,-0.00295747598438193,-0.187616882821399,false
