zeta,omega_ratio,solution_1,solution_2,power,test_FLAG
0.01,0.01,0.999830838927625,0.000171636814506035,-0.00499850562056916,false
0.01,0.02,0.999855754886379,0.000146720362938308,-0.00999201388330455,false
0.01,0.03,0.99988069193953,0.000121782816557148,-0.0149775264361756,false
0.01,0.04,1.00069457207929,-0.000692113420955027,-0.019952050603201,false
0.01,0.05,1.00072123699834,-0.000718778867409485,-0.0249124380354839,false
0.01,0.06,1.00074839042518,-0.00074593283132589,-0.0298557287923261,false
0.01,0.07,1.00077608699402,-0.000773629947970271,-0.0347788945421493,false
0.01,0.08,1.00080438823162,-0.000801931745346033,-0.0396789037778931,false
0.01,0.09,1.001632261676,-0.00162982156425052,-0.0445525168306842,false
0.01,0.1,1.00166520039876,-0.00166276093850214,-0.0493964828019213,false
0.01,0.11,1.00169931551458,-0.00169687672908667,-0.0542079780947846,false
0.01,0.12,1.00254361672974,-0.00254119464370688,-0.0589832999810661,false
0.01,0.13,1.00258473525447,-0.00258231398172135,-0.0637195155936466,false
0.01,0.14,1.00344519703845,-0.00344279278479445,-0.0684130026383141,false
0.01,0.15,1.00349540865667,-0.00349300539614788,-0.073060624949503,false
0.01,0.16,1.00437613750909,-0.00437375166852624,-0.0776582803098175,false
0.01,0.17,1.00527168474968,-0.00526931662216399,-0.0822029976995835,false
0.01,0.18,1.00534350634806,-0.00534113964110813,-0.0866907150665065,false
0.01,0.19,1.00626714465566,-0.00626479621737329,-0.0911170993685782,false
0.01,0.2,1.00721094054548,-0.00720861077455378,-0.0954785592170655,false
0.01,0.21,1.00817722900286,-0.00817491834417244,-0.0997707255867416,false
0.01,0.22,1.00916856828198,-0.00916627723102266,-0.103989015144601,false
0.01,0.23,1.01018773110867,-0.0101854602157589,-0.10812860598538,false
0.01,0.24,1.01123778945959,-0.0112355393358077,-0.112184409002958,false
0.01,0.25,1.01232214144269,-0.0123199127663225,-0.116151034398284,false
0.01,0.26,1.01436907877865,-0.0143668905887063,-0.120021504488193,false
0.01,0.27,-1.7109377008345e-11,1.00002225141133,-0.132877374424036,false
0.01,0.28,-7.14893502894538e-13,1.00002225141955,-0.116797204969678,false
0.01,0.29,3.48704583126565e-11,1.00002225154549,-0.0984503659651072,false
0.01,0.3,-1.95772417731247e-11,1.00002225141009,-0.0777853783791091,false
0.01,0.31,-4.65112327455826e-11,1.00002225155264,-0.0547675213561098,false
0.01,0.32,-3.11785288276252e-11,1.00002225140428,-0.0295277920930863,false
0.01,0.33,6.27608768812342e-11,1.00002225139254,-0.00409479097128687,false
0.01,0.34,1.15356470187745e-12,1.00002225141876,-0.0126774332266765,false
0.01,0.35,1.08445529357429e-12,1.00002225141882,-0.0439051655578544,false
0.01,0.36,-1.65887218795032e-11,1.0000222514365,-0.0789466960355293,false
0.01,0.37,-1.02806681803839e-11,1.00002225143019,-0.117086724911827,false
0.01,0.38,4.49388916434603e-11,1.00002225137497,-0.158275300527628,false
0.01,0.39,4.29823853582251e-11,1.00002225137693,-0.202559794294973,false
0.01,0.4,1.07176081650426,-0.0717597634668585,-0.157783009889483,false
0.01,0.41,1.08545305992035,-0.0854522777021455,-0.158167611850919,false
0.01,0.42,1.13037238471683,-0.267703858312089,-0.123632900683584,false
0.01,0.43,1.13454113523361,-0.260390090101534,-0.118723831744644,false
0.01,0.44,1.13817680722432,-0.253475168207293,-0.11387561931346,false
0.01,0.45,1.14131885170475,-0.246948189661287,-0.109118571753055,false
0.01,0.46,1.14401158300649,-0.240799811130781,-0.104486172449386,false
0.01,0.47,1.14629797969693,-0.235019634646022,-0.100004105373781,false
0.01,0.48,1.14821404143212,-0.229600264000029,-0.0956927480343545,false
0.01,0.49,1.14980497503946,-0.224518887883788,-0.0915661303959648,false
0.01,0.5,1.15110693783964,-0.219765448936276,-0.0876285531555615,false
0.01,0.51,1.15215242854072,-0.215315663694647,-0.0838863109325747,false
0.01,0.52,1.15297627619546,-0.211157099318715,-0.0803360737865206,false
0.01,0.53,1.1536081563453,-0.207265600509913,-0.0769760173567744,false
0.01,0.54,1.15407359580784,-0.203623984346106,-0.0737961067459146,false
0.01,0.55,1.1543955393887,-0.200217339559955,-0.0707919748591622,false
0.01,0.56,1.15459521643944,-0.197022238730387,-0.0679541357314935,false
0.01,0.57,1.15469052670795,-0.194027083666867,-0.0652731237754789,false
0.01,0.58,1.15469419670872,-0.191216150970899,-0.0627397317594135,false
0.01,0.59,1.15450860560215,-0.18640564400435,-0.0617792195733818,false
0.01,0.6,1.15335388139645,-0.176715511225607,-0.0643466169307848,false
0.01,0.61,1.15123770804684,-0.167589674067797,-0.0668406488187987,false
0.01,0.62,1.14824315708734,-0.158980267424466,-0.0692484316333729,false
0.01,0.63,1.14444038192189,-0.15084390286705,-0.0715558774713845,false
0.01,0.64,1.13988955134626,-0.143141134922177,-0.0737487801929066,false
0.01,0.65,1.13464058091328,-0.135835733813153,-0.0758116589317399,false
0.01,0.66,1.12873559369742,-0.128894556610095,-0.0777279823759118,false
0.01,0.67,1.12229686121135,-0.122296807727567,-0.0794925080748965,false
0.01,0.68,1.11609060641019,-0.116090430172748,-0.0811956792557083,false
0.01,0.69,1.11025048216108,-0.110250190411682,-0.0828454827339188,false
0.01,0.7,1.10473458059037,-0.104734179741826,-0.0844197470478428,false
0.01,0.71,1.09950830217657,-0.0995077979573388,-0.0859006050492286,false
0.01,0.72,1.09453970053614,-0.0945390980428203,-0.0872656370275652,false
0.01,0.73,1.08980252741599,-0.08980183122601,-0.0884968662755105,false
0.01,0.74,1.08527169758497,-0.0852709117796003,-0.0895704670728286,false
0.01,0.75,1.08092607421111,-0.0809252024535493,-0.0904651103356794,false
0.01,0.76,1.07674784318074,-0.0767468887818499,-0.0911620361710684,false
0.01,0.77,1.07271963091968,-0.0727185968466882,-0.0916372040472806,false
0.01,0.78,1.06882803503802,-0.0688269239930586,-0.0918731592852827,false
0.01,0.79,1.0650599240095,-0.0650587384349845,-0.0918482137229151,false
0.01,0.8,1.06140442767355,-0.0614031697968866,-0.091543626894529,false
0.01,0.81,1.05785171692948,-0.0578503887836614,-0.0909402042176978,false
0.01,0.82,1.05439407774772,-0.0543926812131833,-0.0900230817082204,false
0.01,0.83,1.05102279418323,-0.0510213309679872,-0.0887701028888682,false
0.01,0.84,1.04773243020724,-0.0477309019118145,-0.0871692458998706,false
0.01,0.85,1.04451621136473,-0.0445146194556405,-0.0852005036037575,false
0.01,0.86,1.04136901268588,-0.0413673585282658,-0.0828482270290068,false
0.01,0.87,1.03828613546456,-0.0382844203306516,-0.0800965789545107,false
0.01,0.88,1.02520298888054,-0.0252010149747616,-0.0768512436853628,false
0.01,0.89,1.01739780600911,-0.017395677724435,-0.072250999704573,false
0.01,0.9,1.0136997416835,-0.0136975402547289,-0.0670714118451371,false
0.01,0.91,1.01070638345748,-0.0107041228229976,-0.0614435939878841,false
0.01,0.92,1.00847527687656,-0.00847297211297608,-0.0554198899972378,false
0.01,0.93,1.00655685066785,-0.00655450795965937,-0.0490279114242262,false
0.01,0.94,1.0048989911893,-0.00489661569027685,-0.0422857971792251,false
0.01,0.95,1.00356443037692,-0.00356202848158412,-0.0352041972149892,false
0.01,0.96,1.00235906975168,-0.00235664401548623,-0.0277923280182634,false
0.01,0.97,1.00126854578116,-0.00126609847546983,-0.020055444854887,false
0.01,0.98,1.00028057883625,-0.000278111989536553,-0.0119974217744169,false
0.01,0.99,0.999384651166665,0.000617833400624388,-0.00362100813139749,false
0.01,1,1.00000877642791,-6.30420520790749e-06,0,true
0.02,0.01,0.999855830504772,0.00014664474304993,-0.00499750518311004,false
0.02,0.02,0.999905805548174,9.66687111895501e-05,-0.00998801198228419,false
0.02,0.03,0.999955920778311,4.65524898234803e-05,-0.0149685200108321,false
0.02,0.04,1.0000062647691,-3.79249671795621e-06,-0.0199360240359804,false
0.02,0.05,1.00084797165116,-0.000845516026921167,-0.0248874519793042,false
0.02,0.06,1.00090107120504,-0.000898616631059965,-0.0298197181706284,false
0.02,0.07,1.00095501497117,-0.000952561464146339,-0.03472982792335,false
0.02,0.08,1.00100992481681,-0.00100747239584837,-0.0396147347796006,false
0.02,0.09,1.00106591334356,-0.00106346202999857,-0.0444713859493902,false
0.02,0.1,1.00192661035301,-0.00192417606319338,-0.0492961306671334,false
0.02,0.11,1.00198891760138,-0.00198648454393445,-0.054086314083625,false
0.02,0.12,1.00286372125466,-0.00286130549997665,-0.0588385291528566,false
0.02,0.13,1.00293448881079,-0.00293207445582238,-0.0635491944325713,false
0.02,0.14,1.00382748720961,-0.00382509051727601,-0.0682153934357816,false
0.02,0.15,1.00390911737451,-0.00390672229674691,-0.0728331007335647,false
0.02,0.16,1.00482482720056,-0.0048224502346401,-0.0773991593874219,false
0.02,0.17,1.00575692132977,-0.0057545627997591,-0.0819101014630845,false
0.02,0.18,1.00586371132526,-0.00586135490745158,-0.0863610701820311,false
0.02,0.19,1.00682715318212,-0.00682481582025234,-0.0907490950902309,false
0.02,0.2,1.00781284181518,-0.00781052394927395,-0.0950698521508426,false
0.02,0.21,1.00882333298911,-0.00882103510973557,-0.0993189001998571,false
0.02,0.22,1.00986143253664,-0.00985915518986077,-0.103491571937335,false
0.02,0.23,1.01093020714615,-0.0109279509386815,-0.107582947616492,false
0.02,0.24,1.01203304397625,-0.0120308095818184,-0.111587824094042,false
0.02,0.25,1.01317370969735,-0.0131714978641724,-0.115500678346811,false
0.02,0.26,1.01435641663979,-0.0143542281994066,-0.119315624193522,false
0.02,0.27,-1.73588915198396e-11,1.00002225143727,-0.126778074690686,false
0.02,0.28,-3.47967720492134e-12,1.00002225142339,-0.110342464630022,false
0.02,0.29,-1.16451376614479e-11,1.00002225149529,-0.0916910442047755,false
0.02,0.3,-8.48522777415356e-12,1.00002225142839,-0.0708227117238025,false
0.02,0.31,-6.08275515550813e-12,1.00002225141686,-0.0478636383270346,false
0.02,0.32,-2.1881825529525e-11,1.00002225140894,-0.0234724840846772,false
0.02,0.33,-5.28354325589032e-11,1.00002225158568,-0.00233558713559189,false
0.02,0.34,4.98918378880681e-11,1.00002225137002,-0.00847474809493381,false
0.02,0.35,7.77632073647687e-12,1.00002225141213,-0.0361051203453751,false
0.02,0.36,1.39246043343802e-14,1.0000222514199,-0.0695091298391066,false
0.02,0.37,1.17320997916537e-11,1.00002225140818,-0.106512768599233,false
0.02,0.38,4.00971721698739e-12,1.0000222514159,-0.146751391051934,false
0.02,0.39,2.42465950726272e-11,1.00002225139566,-0.190159242627631,false
0.02,0.4,8.30042021647462e-11,1.0000222513369,-0.236765397717418,false
0.02,0.41,1.12715697926701,-0.272988538269416,-0.125666395719232,false
0.02,0.42,1.13169394264121,-0.265449370509719,-0.120887002398508,false
0.02,0.43,1.13566593560686,-0.25831142648049,-0.116136423475506,false
0.02,0.44,1.1391246873252,-0.25156713360927,-0.111454060991192,false
0.02,0.45,1.14210988252844,-0.245203474737368,-0.106868119239896,false
0.02,0.46,1.14466291777382,-0.23921421625323,-0.102405935451194,false
0.02,0.47,1.14682682713747,-0.233584068299631,-0.0980913169807408,false
0.02,0.48,1.14864101306399,-0.228300435013204,-0.0939398846209477,false
0.02,0.49,1.15014215832159,-0.22334766503699,-0.0899623282997029,false
0.02,0.5,1.15136971878904,-0.218707777516598,-0.0861663788456012,false
0.02,0.51,1.15235569450084,-0.214364121365685,-0.0825529243330674,false
0.02,0.52,1.15312887368115,-0.210296769019018,-0.0791199444493124,false
0.02,0.53,1.15371862827417,-0.206489247184141,-0.0758675866030946,false
0.02,0.54,1.15415001778323,-0.202922578911482,-0.0727839455874385,false
0.02,0.55,1.15444470171087,-0.199580517258147,-0.0698686912732199,false
0.02,0.56,1.15462055124394,-0.196444954288549,-0.0671097834475342,false
0.02,0.57,1.15469625559614,-0.193502137585569,-0.064499010425017,false
0.02,0.58,1.15468729134405,-0.190738056848004,-0.0620289903399958,false
0.02,0.59,1.15460434404135,-0.188138876186502,-0.0596940235110673,false
0.02,0.6,1.15423238757996,-0.18306437985581,-0.0592012931746035,false
0.02,0.61,1.15277075502051,-0.1737070157565,-0.061795969565669,false
0.02,0.62,1.15040409816088,-0.164880908608184,-0.064314322011168,false
0.02,0.63,1.14720667115183,-0.156542093451309,-0.0667437744370985,false
