beta,omega,solution_1,solution_2,solution_3,power
0,0,4.35039704120154e+153,0.1,0.1,0
0,0.02,1.00102231865142,3.18750209336702e-06,-0.00101986650712181,-0.00999621766532757
0,0.04,1.00729443116537,3.57153091906065e-06,-0.00729210308112773,-0.0199959751286111
0,0.06,1.02346952143889,1.69391433006868e-06,-0.0234675132635758,-0.0303356632362849
0,0.08,1.01789471468168,-4.17857018669321e-06,-0.0178925961840458,-0.0400621548468138
0,0.1,1.01550044510763,3.87800487504261e-06,-0.0154982793333652,-0.0497645542287315
0,0.12,1.01400059154096,3.89871276375159e-06,-0.0139983961012512,-0.0593515494500025
0,0.14,1.05933158654587,8.61076738240964e-06,-0.0593302877555925,-0.0740246209738149
0,0.16,1.01343739942232,-3.56869464966785e-06,-0.0134351927693823,-0.0780936448167716
0,0.18,1.00700692060634,-2.91582710167088e-06,-0.00700458677126242,-0.0870261261686223
0,0.2,1.04927811824619,-3.50291339638669e-07,-0.0492766205194965,-0.0999381172497946
0,0.22,1.01675580989176,3.34417857236966e-06,-0.0167536689421144,-0.104647303047978
0,0.24,1.0181826534782,-3.40663350778071e-06,-0.0181805406833573,-0.112918004535189
0,0.26,1.02138744314247,4.15463411106735e-06,-0.021385393810002,-0.120890841585545
0,0.28,1.05585076454029,6.81431721088866e-06,-0.0558493968849775,-0.132056628197733
0,0.3,1.02168420824676,-4.10163032833395e-06,-0.0216821647023452,-0.135375735363835
0,0.32,1.06733249749181,-7.4594991690144e-06,-0.0673313567928099,-0.145917644040294
0,0.34,1.03337871723297,4.50140352838256e-06,-0.0333769050796382,-0.147857232931735
0,0.36,1.08855971692625,-4.2248407838368e-06,-0.323922956866825,-0.15574153822125
0,0.38,1.06092911133618,-5.33643151791129e-06,-0.0609278440054436,-0.157289340574919
0,0.4,1.1183467510383,6.65960585608235e-06,-0.286311088076399,-0.13670527105878
0,0.42,1.12892549522896,-3.98820456469641e-06,-0.270114636421178,-0.126581475851515
0,0.44,1.1371343104764,-7.00547689813905e-06,-0.255521389321783,-0.116476309931225
0,0.46,1.14329711626278,-6.38006034611905e-06,-0.242491284796125,-0.106717075824989
0,0.48,1.1477474294639,3.1477048341386e-06,-0.230978642771906,-0.0975649482381059
0,0.5,1.15081773712372,-5.62933690635357e-06,-0.220878624244068,-0.0891804964989586
0,0.52,1.152811707109,1.09137576019484e-05,-0.212054354817096,-0.0816182649116249
0,0.54,1.15399090649796,2.57276478072304e-06,-0.204357262833367,-0.0748546529267779
0,0.56,1.15456545943783,1.52488561746103e-07,-0.197621298608473,-0.0688323488882693
0,0.58,1.15466241439521,-1.71041010352407e-06,-0.189685714204534,-0.0648262674862421
0,0.6,1.1519592218495,3.1960477314087e-06,-0.170234852275694,-0.0697882796042746
0,0.62,1.14552963017764,5.29297101083579e-06,-0.152969013738973,-0.0744149078738682
0,0.64,1.1359492555339,7.28784011591442e-06,-0.137538095578506,-0.0785975001955787
0,0.66,1.12364843852309,9.00874526571387e-06,-0.123648411861281,-0.0822164334794395
0,0.68,1.11129257013798,-3.17178644745604e-08,-0.111292298999751,-0.0855023057338317
0,0.7,1.10031138751505,-2.61311276643686e-06,-0.100310899154224,-0.0885529902527661
0,0.72,1.09042213738686,-3.80466216949467e-06,-0.0904214534145331,-0.0912073815545353
0,0.74,1.08140443811048,-5.09286058440031e-06,-0.0814035757641237,-0.0932975003773336
0,0.76,1.07309071445015,2.71879566362777e-06,-0.0730896877437112,-0.0946531162684714
0,0.78,1.06534498440113,-4.00964738871164e-06,-0.0653438044251715,-0.0951111662436406
0,0.8,1.05807350506351,5.07512858848124e-06,-0.0580721813546426,-0.0945108127913366
0,0.82,1.05119038800998,-8.62334250397337e-06,-0.0511889280243045,-0.0927081599644259
0,0.84,1.04464601776823,1.0169102981995e-06,-0.0446444284366318,-0.0895590111241063
0,0.86,1.03838442281015,-6.69388097544623e-07,-0.0383827096136466,-0.0849318109083387
0,0.88,1.03236956546281,-2.28797558175615e-06,-0.0323677332822954,-0.0786926288282941
0,0.9,1.02656911127435,3.50332714845301e-06,-0.0265671644237842,-0.0707144112050106
0,0.92,1.01478575429241,5.29988181510918e-06,-0.0147835743963132,-0.0592564781784383
0,0.94,1.00855172262801,-2.3876276589622e-06,-0.00854941935283318,-0.0463114724187981
0,0.96,1.00484010625005,-1.40252958337299e-06,-0.00483772957245725,-0.0321561203203751
0,0.98,1.00212745273525,5.3885546730456e-07,-0.00212502242341394,-0.0167145867480466
0,1,1.00000247235563,-2.34592174740418e-10,-8.23715402432986e-12,-7.09274409657502e-10
0.02,0,4.35039704120154e+153,0.1,0.1,0
0.02,0.02,1.00095595305903,3.23212162941471e-06,-0.000953499602526475,-0.00999612511181498
0.02,0.04,1.03470535491427,5.56119643292578e-06,-0.0347035690110115,-0.0206338504761384
0.02,0.06,1.02306660852671,-2.68095795361887e-06,-0.023064592338922,-0.0303184257430653
0.02,0.08,1.01807794242118,-2.54092272831611e-06,-0.018075827563815,-0.040065089288235
0.02,0.1,1.01555305274842,4.0285578155308e-06,-0.0155508880161742,-0.0497586537971999
0.02,0.12,1.01403803164768,3.95219529194433e-06,-0.0140358369490328,-0.0593395014823293
0.02,0.14,1.05948468441135,8.39055012304728e-06,-0.0594833886467978,-0.074019165394095
0.02,0.16,1.05479701563443,7.69272457088605e-06,-0.0547956271456799,-0.0827999960764954
0.02,0.18,1.01390897552434,-2.73599211838547e-06,-0.0139067782069486,-0.0871353276963222
0.02,0.2,1.05006234939276,-6.41802292428886e-06,-0.0500608671173895,-0.0999956851954634
0.02,0.22,1.01699956642699,3.9440946290177e-06,-0.0169974303045352,-0.10457327520106
0.02,0.24,1.05002551148495,-2.86047524832494e-06,-0.0500240285161486,-0.11638263425029
0.02,0.26,1.05232520860318,5.57629618055954e-06,-0.0523237712035847,-0.124276245096035
0.02,0.28,1.0550788838484,-6.78838754861705e-06,-0.0550775007915234,-0.131682653066986
0.02,0.3,1.06120925197855,7.07051107555683e-06,-0.0612079903114223,-0.139021714409216
0.02,0.32,1.06834832877044,-7.77021650547844e-06,-0.0683472081605158,-0.145719602877682
0.02,0.34,1.0702382258688,-1.57237331402299e-05,-0.343799518739103,-0.162438170657842
0.02,0.36,1.09011314040547,3.09437207074191e-06,-0.322147562203322,-0.154088766568949
0.02,0.38,1.10627572359534,8.41090251371052e-06,-0.302616098077205,-0.144936922923359
0.02,0.4,1.11930223463338,4.21198232326849e-06,-0.284938518383637,-0.135237778934886
0.02,0.42,1.12962519048978,-1.38734783106232e-05,-0.26895514016205,-0.125280792265424
0.02,0.44,1.13761250018383,6.89059223336967e-06,-0.254585987484977,-0.115382708405201
0.02,0.46,1.14360285385683,8.65028366575726e-06,-0.241774378602348,-0.105835692604456
0.02,0.48,1.14793377204311,7.92986253865695e-06,-0.230434716078633,-0.0968839615797835
0.02,0.5,1.15092155162482,-2.27686536982878e-06,-0.220479573665173,-0.0886642044798722
0.02,0.52,1.15286695511567,-7.97847437249756e-06,-0.211764073109967,-0.0812283498787865
0.02,0.54,1.15401639077451,4.72245291114519e-06,-0.204139942054601,-0.0745627121082664
0.02,0.56,1.15457431834322,-2.76345224311126e-06,-0.197459919497344,-0.0686122793087699
0.02,0.58,1.15469818540506,-1.20140442141646e-05,-0.19158642599994,-0.0633040244718709
0.02,0.6,1.15325351578195,-5.78459435675084e-06,-0.176155301159056,-0.0654947388113676
0.02,0.62,1.14802572603957,1.83253478956549e-06,-0.158451271034741,-0.0703743080459542
0.02,0.64,1.13955591540016,6.53726071981151e-06,-0.142634936904543,-0.074850689622954
0.02,0.66,1.12828203066455,1.02599912308789e-05,-0.128403711476297,-0.078804753787075
0.02,0.68,1.11562639527404,9.48560914339485e-07,-0.115626209864333,-0.0822634431013366
0.02,0.7,1.10430185656214,-5.45724084484706e-06,-0.104301447100764,-0.0854786638457656
0.02,0.72,1.09414338168777,1.49675275287412e-06,-0.0941427713704546,-0.0883157952254342
0.02,0.74,1.08491032878575,4.03986476870134e-06,-0.08490953587281,-0.0906115142521533
0.02,0.76,1.0764187531575,-6.24514615134224e-06,-0.0764177921877672,-0.0921998240329772
